zdc,niveau,commentaire
65190,"gare ou arrêt non accessible",
73596,"train accessible sur réservation préalable auprès du service AssistenGare",
72124,"train accessible sur réservation préalable auprès du service AssistenGare",
67056,"gare ou arrêt non accessible",
72881,"train accessible sur demande auprès d'un agent en station",
66741,"gare ou arrêt non accessible",
64301,"gare ou arrêt non accessible",
62596,"train accessible sur réservation préalable auprès du service AssistenGare",
67476,"train accessible sur réservation préalable auprès du service AssistenGare",
59447,"gare ou arrêt non accessible",
65752,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie. Ligne C accessible sur réservation préalable auprès du service Accès Plus Transilien."
411429,"gare ou arrêt non accessible",
61763,"gare ou arrêt non accessible",
411379,"gare ou arrêt non accessible",
474151,"gare ou arrêt non accessible","Ligne A et B accessibles sur demande auprès d'un agent en station. Ligne D non accessible."
69487,"train accessible sur réservation préalable auprès du service AssistenGare",
73718,"train accessible sur réservation préalable auprès du service AssistenGare",
69682,"gare ou arrêt non accessible",
69136,"gare ou arrêt non accessible",
72652,"train accessible sur réservation préalable auprès du service AssistenGare",
65485,"véhicule accessible en toute autonomie",
65227,"véhicule accessible en toute autonomie",
65326,"gare ou arrêt non accessible",
70133,"train accessible sur demande auprès d'un agent en station",
70713,"train accessible sur réservation préalable auprès du service AssistenGare",
66535,"train accessible sur réservation préalable auprès du service AssistenGare",
61658,"gare ou arrêt non accessible",
63352,"gare ou arrêt non accessible",
71274,"train accessible sur réservation préalable auprès du service AssistenGare",
71016,"train accessible sur réservation préalable auprès du service AssistenGare",
424396,"train accessible sur réservation préalable auprès du service AssistenGare",
70640,"train accessible sur demande auprès d'un agent en station",
411419,"gare ou arrêt non accessible",
64251,"train accessible sur réservation préalable auprès du service AssistenGare",
68918,"train accessible sur réservation préalable auprès du service AssistenGare",
65659,"gare ou arrêt non accessible",
61412,"gare ou arrêt non accessible",
63426,"train accessible sur réservation préalable auprès du service AssistenGare",
68494,"train accessible sur réservation préalable auprès du service AssistenGare",
62003,"train accessible sur réservation préalable auprès du service AssistenGare",
65985,"train accessible sur réservation préalable auprès du service AssistenGare",
65994,"train accessible sur réservation préalable auprès du service AssistenGare",
73603,"gare ou arrêt non accessible",
62412,"train accessible sur réservation préalable auprès du service AssistenGare",
61826,"gare ou arrêt non accessible",
69237,"gare ou arrêt non accessible",
64341,"train accessible sur réservation préalable auprès du service AssistenGare",
63029,"train accessible sur demande auprès d'un agent en station",
71161,"train accessible sur demande auprès d'un agent en station",
411486,"gare ou arrêt non accessible",
65931,"train accessible sur réservation préalable auprès du service AssistenGare",
411376,"gare ou arrêt non accessible",
59948,"gare ou arrêt non accessible",
68963,"train accessible sur réservation préalable auprès du service AssistenGare",
66934,"gare ou arrêt non accessible",
59429,"gare ou arrêt non accessible",
63072,"train accessible sur réservation préalable auprès du service AssistenGare",
66335,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie. Ligne C accessible sur réservation préalable auprès du service Accès Plus Transilien."
63989,"train accessible sur réservation préalable auprès du service AssistenGare",
61410,"train accessible sur réservation préalable auprès du service AssistenGare",
67805,"gare ou arrêt non accessible",
67944,"gare ou arrêt non accessible",
62168,"train accessible sur réservation préalable auprès du service AssistenGare",
70956,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne A accessible sur demande auprès d'un agent en station. Lignes L accessible sur réservation préalable auprès du service Accès Plus Transilien."
61218,"train accessible sur réservation préalable auprès du service AssistenGare",
411385,"gare ou arrêt non accessible",
67292,"véhicule accessible en toute autonomie",
72787,"train accessible sur réservation préalable auprès du service AssistenGare",
69677,"gare ou arrêt non accessible",
71545,"train accessible sur réservation préalable auprès du service AssistenGare",
67169,"gare ou arrêt non accessible",
427230,"train accessible sur demande auprès d'un agent en station",
67839,"train accessible sur réservation préalable auprès du service AssistenGare",
66157,"gare ou arrêt non accessible",
73749,"train accessible sur réservation préalable auprès du service AssistenGare",
66452,"véhicule accessible en toute autonomie",
66803,"gare ou arrêt non accessible",
59842,"gare ou arrêt non accessible",
73491,"train accessible sur réservation préalable auprès du service AssistenGare",
64194,"gare ou arrêt non accessible",
66557,"gare ou arrêt non accessible",
66334,"gare ou arrêt non accessible",
67131,"gare ou arrêt non accessible",
65110,"train accessible sur réservation préalable auprès du service AssistenGare",
68266,"train accessible sur demande auprès d'un agent en station",
63454,"gare ou arrêt non accessible",
66520,"gare ou arrêt non accessible",
66338,"gare ou arrêt non accessible",
62471,"gare ou arrêt non accessible",
73721,"train accessible sur réservation préalable auprès du service AssistenGare",
63071,"train accessible sur réservation préalable auprès du service AssistenGare",
70313,"train accessible sur réservation préalable auprès du service AssistenGare",
61850,"gare ou arrêt non accessible",
63044,"train accessible sur réservation préalable auprès du service AssistenGare",
69759,"train accessible sur demande auprès d'un agent en station",
70263,"train accessible sur demande auprès d'un agent en station",
65063,"train accessible sur réservation préalable auprès du service AssistenGare",
60072,"train accessible sur réservation préalable auprès du service AssistenGare",
72179,"train accessible sur réservation préalable auprès du service AssistenGare",
59830,"gare ou arrêt non accessible",
68105,"train accessible sur demande auprès d'un agent en station",
62064,"gare ou arrêt non accessible",
73042,"train accessible sur demande auprès d'un agent en station",
411462,"gare ou arrêt non accessible",
63369,"gare ou arrêt non accessible",
411397,"gare ou arrêt non accessible",
69254,"gare ou arrêt non accessible",
71056,"train accessible sur demande auprès d'un agent en station",
66654,"véhicule accessible en toute autonomie",
60052,"gare ou arrêt non accessible",
66484,"gare ou arrêt non accessible",
478855,"train accessible sur réservation préalable auprès du service AssistenGare",
411456,"gare ou arrêt non accessible",
59678,"gare ou arrêt non accessible",
