ArTId;ArTVersion;ArTCreated;ArTChanged;FournisseurId;FournisseurName;ArTName;ArTXEpsg2154;ArTYEpsg2154;ArRId;ArTType;ArTFareZone;ArTAccessibility;ArTAudibleSignals;ArTVisualSigns;ArTTown;ArTPostalRegion;ArTPrivateCode;ArTPublicCode;ArTGeopoint
50237094;1812907-1576225;2026-06-24T17:56:04+02:00;2026-06-24T17:56:04+02:00;547;SEINE ORLY;Maurice Arnoux;649135;6856972;40821;bus;2;unknown;unknown;unknown;Montrouge;92049;MonMaAr01;-;48.810811258254546, 2.3073681311488667
50237096;1812903-1338052;2026-06-24T17:56:00+02:00;2026-06-24T17:56:00+02:00;547;SEINE ORLY;Turbigo - République;653143;6863090;40848;bus;1;unknown;unknown;unknown;Paris 3e;75103;P03TuRe01;-;48.866134523776644, 2.3612689593650846
50237104;1812887-1540324;2026-06-24T17:55:44+02:00;2026-06-24T17:55:44+02:00;547;SEINE ORLY;Dolet - Zola;657552;6855545;41771;bus;3;unknown;unknown;unknown;Alfortville;94002;AlfDoZo01;-;48.79858676384463, 2.422120649883365
50237107;1812881-1805612;2026-06-24T17:55:38+02:00;2026-06-24T17:55:38+02:00;547;SEINE ORLY;Église de Vitry;655560;6854871;42077;bus;3;unknown;unknown;unknown;Vitry-sur-Seine;94081;ViSEgVi01;-;48.792391001292266, 2.3950732548670217
50237108;1812879-1369639;2026-06-24T17:55:37+02:00;2026-06-24T17:55:37+02:00;547;SEINE ORLY;Belleville;654354;6863776;42079;bus;1;unknown;unknown;unknown;Paris 19e;75119;P19Bell01;-;48.87239055881503, 2.377702314685725
50237111;1812871-1306218;2026-06-24T17:55:31+02:00;2026-06-24T17:55:31+02:00;547;SEINE ORLY;Gare d'Austerlitz - Cour Seine;653461;6860544;411308;bus;1;unknown;unknown;unknown;Paris 13e;75113;P13GACS01;-;48.84326156785836, 2.365882291309755
50237114;1812865-519678;2026-06-24T17:55:26+02:00;2026-06-24T17:55:26+02:00;547;SEINE ORLY;Rue des Jardins;654464;6857939;413077;bus;2;unknown;unknown;unknown;Ivry-sur-Seine;94041;IvSRuJa01;-;48.81990611396751, 2.3798268801190665
50237115;1812863-1547666;2026-06-24T17:55:24+02:00;2026-06-24T17:55:24+02:00;547;SEINE ORLY;Rue des Jardins;654455;6857990;413078;bus;2;unknown;unknown;unknown;Ivry-sur-Seine;94041;IvSRuJa02;-;48.820364132668075, 2.379698854200397
50237116;1812861-1547214;2026-06-24T17:55:22+02:00;2026-06-24T17:55:22+02:00;547;SEINE ORLY;Utrillo;654774;6854653;413079;bus;3;unknown;unknown;unknown;Vitry-sur-Seine;94081;ViSUtri01;-;48.79037579338253, 2.384397619514547
50237119;1812855-1541661;2026-06-24T17:55:16+02:00;2026-06-24T17:55:16+02:00;547;SEINE ORLY;Gymnase Auguste Delaune;654968;6856600;413082;bus;3;unknown;unknown;unknown;Ivry-sur-Seine;94041;IvSGyAD01;-;48.80789951366298, 2.386832389718583
50237123;1812845-1348878;2026-06-24T17:55:08+02:00;2026-06-24T17:55:08+02:00;547;SEINE ORLY;Coeur d'Orly;653763;6848289;413123;bus;4;unknown;unknown;unknown;Orly;94054;OrlCoOr01;-;48.733068339909316, 2.3713264387940756
50237125;1812841-1434640;2026-06-24T17:55:04+02:00;2026-06-24T17:55:04+02:00;547;SEINE ORLY;Caroline Aigle;653662;6848802;413125;bus;4;unknown;unknown;unknown;Orly;94054;OrlCaAi01;-;48.73767496190777, 2.3698975650533036
50237128;1812835-1541352;2026-06-24T17:54:59+02:00;2026-06-24T17:54:59+02:00;547;SEINE ORLY;Division Leclerc;649713;6844614;413258;bus;4;unknown;unknown;unknown;Chilly-Mazarin;91161;ChMDiLe01;-;48.699712747709, 2.3166945765585396
50237130;1812831-1575967;2026-06-24T17:54:55+02:00;2026-06-24T17:54:55+02:00;547;SEINE ORLY;Cimetière de Bagneux;649572;6856897;413264;bus;3;unknown;unknown;unknown;Bagneux;92007;BagCiBa01;-;48.81017109110679, 2.3133273670426626
50237132;1812827-1540701;2026-06-24T17:54:52+02:00;2026-06-24T17:54:52+02:00;547;SEINE ORLY;Barbara;649931;6856857;413267;bus;3;unknown;unknown;unknown;Bagneux;92007;BagAvHG01;-;48.809839338254356, 2.3182202902036937
50237135;1812819-1328850;2026-06-24T17:54:45+02:00;2026-06-24T17:54:45+02:00;547;SEINE ORLY;Verdun - République;652591;6854346;413370;bus;3;unknown;unknown;unknown;Villejuif;94076;VilVeRe03;-;48.78745804745016, 2.354718736785187
50237136;1812817-562340;2026-06-24T17:54:43+02:00;2026-06-24T17:54:43+02:00;547;SEINE ORLY;Verdun - République;652611;6854365;413371;bus;3;unknown;unknown;unknown;Villejuif;94076;VilVeRe04;-;48.787630392832085, 2.354988831149086
50237138;1812811-1366228;2026-06-24T17:54:39+02:00;2026-06-24T17:54:39+02:00;547;SEINE ORLY;Hangar N° 6;653301;6849443;414531;bus;4;unknown;unknown;unknown;Paray-Vieille-Poste;91479;PVPHaN602;-;48.74341400265443, 2.3649188089528543
50237143;1812799-1554717;2026-06-24T17:54:30+02:00;2026-06-24T17:54:30+02:00;547;SEINE ORLY;Liberté;656416;6858544;415866;bus;2;unknown;unknown;unknown;Charenton-le-Pont;94018;ChPLibe02;-;48.8254819399201, 2.406348983689066
