route_label,station_id,zdc_id,db_label,gtfs_label
A,349,70940,Nanterre - Ville,Nanterre Ville
A,360,70393,Saint-Maur - Créteil,Saint-Maur - Créteil
A,330,68105,Bussy-Saint-Georges,Bussy-Saint-Georges
A,350,70956,Nanterre Université,Nanterre Université
A,361,64918,Sartrouville,Sartrouville
A,338,71630,Fontenay-sous-Bois,Fontenay-sous-Bois
A,342,70359,Le Parc de Saint-Maur,Le Parc de Saint-Maur
A,332,66858,Cergy Saint-Christophe,Cergy Saint-Christophe
A,352,66436,Neuville - Université,Neuville Université
A,363,68129,Torcy,Torcy
A,19,73626,Gare de Lyon,Gare de Lyon
A,359,64589,Saint-Germain-en-Laye,Saint-Germain-en-Laye
A,328,72881,Boissy-Saint-Léger,Boissy-Saint-Léger
A,364,68266,Val d'Europe,Val d'Europe
A,337,73605,Conflans Fin d'Oise,Conflans Fin d'Oise
A,341,72998,La Varenne - Chennevières,La Varenne - Chennevières
A,340,70640,Joinville-le-Pont,Joinville-le-Pont
A,343,64514,Le Vésinet - Centre,Le Vésinet - Centre
A,358,70902,Rueil-Malmaison,Rueil-Malmaison
A,7,71347,Charles de Gaulle — Étoile,Charles de Gaulle - Étoile
A,21,71673,Nation,Nation
A,354,68153,Noisiel,Noisiel
A,346,65048,Maisons-Laffitte,Maisons-Laffitte
A,345,68123,Lognes,Lognes
A,355,73163,Noisy - Champs,Noisy - Champs
A,336,474151,Châtelet - Les Halles,Châtelet - Les Halles
A,339,64741,Houilles - Carrières-sur-Seine,Houilles - Carrières-sur-Seine
A,353,71590,Nogent-sur-Marne,Nogent-sur-Marne
A,1,71517,La Défense,La Défense
A,327,478926,Auber,Auber
A,347,68385,Marne-la-Vallée - Chessy,Marne-la-Vallée Chessy
A,335,64483,Chatou - Croissy,Chatou - Croissy
A,329,73166,Bry-sur-Marne,Bry-sur-Marne
A,326,73604,Achères Ville,Achères Ville
A,325,65190,Achères Grand Cormier,Achères Grand Cormier
A,365,71718,Val de Fontenay,Val de Fontenay
A,356,412697,Noisy-le-Grand - Mont d'Est,Noisy-le-Grand - Mont d'Est
A,362,72929,Sucy - Bonneuil,Sucy - Bonneuil
A,331,66696,Cergy Préfecture,Cergy Préfecture
A,333,66834,Cergy le Haut,Cergy le Haut
A,357,64883,Poissy,Poissy
A,351,73190,Neuilly-Plaisance,Neuilly-Plaisance
A,344,64582,Le Vésinet - Le Pecq,Le Vésinet - Le Pecq
A,334,73042,Champigny,Champigny
A,366,71651,Vincennes,Vincennes
A,348,70945,Nanterre - Préfecture,Nanterre Préfecture
B,384,62825,La Hacquinière,La Hacquinière
B,372,70210,Bagneux,Bagneux
B,408,73482,Vert-Galant,Vert Galant
B,405,74265,Sceaux,Sceaux
B,389,63025,Le Guichet,Le Guichet
B,391,63029,Lozère,Lozère
B,381,62890,Gif-sur-Yvette,Gif-Sur-Yvette
B,401,71106,Port Royal,Port Royal
B,404,62978,Saint-Rémy-lès-Chevreuse,Saint-Rémy-lès-Chevreuse
B,395,69065,Mitry - Claye,Mitry - Claye
B,373,70033,Bourg-la-Reine,Bourg-la-Reine
B,398,63067,Palaiseau - Villebon,Palaiseau - Villebon
B,393,63244,Massy - Palaiseau,Massy - Palaiseau
B,410,73547,Villepinte,Villepinte
B,406,73491,Sevran - Beaudottes,Sevran Beaudottes
B,399,69906,Parc de Sceaux,Parc de Sceaux
B,388,72641,Le Bourget,Le Bourget
B,402,427230,Robinson,Robinson
B,376,62951,Courcelle-sur-Yvette,Courcelle-sur-Yvette
B,390,69622,Les Baconnets,Les Baconnets
B,387,72648,Le Blanc-Mesnil,Le Blanc-Mesnil
B,369,72646,Aulnay-sous-Bois,Aulnay-sous-Bois
B,394,63320,Massy - Verrières,Massy - Verrières
B,379,70133,Fontenay-aux-Roses,Fontenay-aux-Roses
B,378,69647,Fontaine Michalon,Fontaine Michalon
B,367,69759,Antony,Antony
B,336,474151,Châtelet - Les Halles,Châtelet - Les Halles
B,385,72211,La Plaine Stade de France,La Plaine Stade de France
B,409,68916,Villeparisis - Mitry-le-Neuf,Villeparisis - Mitry-le-Neuf
B,374,62851,Bures-sur-Yvette,Bures-sur-Yvette
B,91,71056,Denfert-Rochereau,Denfert-Rochereau
B,368,70263,Arcueil - Cachan,Arcueil - Cachan
B,407,73439,Sevran - Livry,Sevran - Livry
B,383,69813,La Croix de Berny,La Croix de Berny
B,403,73620,Saint-Michel Notre-Dame,Saint-Michel Notre-Dame
