commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
café tabac;510704;Tabac Cika;;1 Avenue Aristide Briand;92160;Antony;;;;;;;;48.753581, 2.30498
café tabac;530279;Le Milton;dimanche;25 Avenue Vladimir Ilitch Lénine;94110;Arcueil;;;;;;;;48.810626, 2.33047
café tabac;510460;Le Brelan;dimanche;2 Boulevard Léon Feix;95100;Argenteuil;;;;;;;;48.948791, 2.253044
café tabac;510734;Tabac d'Orgemont;dimanche;57 Avenue de Stalingrad;95100;Argenteuil;;;;;;;;48.950938, 2.264138
café tabac;530289;Le Mozart;;105 Avenue du 18 avril;91200;Athis-Mons;;;;;;;;48.7021, 2.387009
tabac presse;540083;Le Fontenoy;lundi;34 Avenue François Mitterrand;91200;Athis-Mons;;;;;;;;48.70056, 2.372019
café tabac;540309;Le Celtique;;39 Avenue de la République;93300;Aubervilliers;;;;;;;;48.911021, 2.384993
tabac loto;530545;Le  Bretagne;;2 Rue de la République;92220;Bagneux;;;;;;;;48.795881, 2.301736
librairie;520647;Le Robespierre;;83 Rue Robespierre;93170;Bagnolet;;;;;;;;48.86306, 2.419066
café tabac;510490;Tabac de la Mairie;;5 Avenue Gabriel Péri;95870;Bezons;;;;;;;;48.927751, 2.215166
café tabac;520496;Le Bel Air;;25 Avenue Édouard Vaillant;93000;Bobigny;;;;;;;;48.90755, 2.468686
café tabac;520699;Le Bar des Amis;;38 Chemin de Groslay;93000;Bobigny;;;;;;;;48.907194, 2.471295
tabac loto;510405;Le Louis XV;samedi;31bis Rue des Bourguignons;92270;Bois Colombes;;;;;;;;48.913408, 2.273033
café tabac;510453;Le Jean Bart;dimanche;11 Rue d'Estienne d'Orves;92270;Bois-Colombes;;;;;;;;48.91553, 2.271325
café tabac;510495;Etoile;mercredi;323 Avenue d'Argenteuil;92270;Bois-Colombes;;;;;;;;48.92458, 2.274857
café tabac;510232;Le Royal Tabac;dimanche;99 Avenue Edouard Vaillant;92100;Boulogne-Billancourt;;;;;;;;48.833815, 2.244703
café tabac;510493;Le Marigny;dimanche;97 Route de la Reine;92100;Boulogne-Billancourt;;;;;;;;48.839771, 2.237612
