zdc,ligneLabel,destination,accId,labelPosition,position,positionMax,equipement,directionId,terminusReel,zdcSuivant
71264,7,Châtelet,,Arrière,5,5,,1,"Villejuif - Louis Aragon",71217
463564,8,Bastille,,Arrière,5,5,,1,"Pointe du Lac",71693
71673,9,Nation,,Milieu,3,5,,0,"Pont de Sèvres",71694
71940,7B,Jaurès,,Arrière,2,3,,1,"Louis Blanc",71407
71139,6,Montparnasse-Bienvenue,,Milieu,3,5,,0,Nation,71108
71056,4,Denfert-Rochereau,,Arrière,6,6,,1,"Bagneux - Lucie Aubrac",73653
71324,12,Madeleine,,Avant,1,5,,0,"Mairie d'Issy",71298
71410,5,Magenta,,Arrière,5,5,,0,"Bobigny - Pablo Picasso",71961
71673,6,Nation,,Milieu,3,5,,1,"Charles de Gaulle - Étoile",71639
71346,13,Miromesnil,,Milieu,3,5,,0,"Châtillon - Montrouge",71305
71347,2,"Charles de Gaulle-Etoile",,Avant,1,5,,1,"Porte Dauphine",71315
71426,4,Barbès-Rochechouart,,Milieu,3,6,Escalator,0,"Porte de Clignancourt",71469
71264,1,Châtelet,,Arrière,6,6,,1,"La Défense",73630
71285,9,Trocadéro,,Arrière,5,5,,0,"Pont de Sèvres",71292
71410,5,"Paris Gare du Nord",,Milieu,3,5,,1,"Place d'Italie",71359
73648,5,"65 boulevard Richard Lenoir",50147740,Avant,1,5,,0,"Bobigny - Pablo Picasso",71803
463564,1,"Bd Bourdon",50147743,Avant,1,6,,1,"La Défense",71222
72486,5,"Gare routière Bus 134A-134B",50147773,Avant,1,5,,0,"Bobigny - Pablo Picasso",
71264,11,"63 - 65 rue de Rivoli",50147791,Avant,1,5,,1,Châtelet,
71264,14,"112 rue deRivoli",50147795,Arrière,6,8,Escalator,0,"Saint-Denis - Pleyel",73788
73794,4,"Place Carrée, Forum des Halles)",50147804,Avant,1,6,,1,"Bagneux - Lucie Aubrac",71264
73633,8,"18 rue Saint-Denis",50147823,Arrière,5,5,,0,Balard,71320
73633,8,"13 boulevard Saint-Denis",50147824,Arrière,5,5,,0,Balard,71320
71139,12,"Maine Montparnasse",50147832,Arrière,4,5,,0,"Mairie d'Issy",73641
71088,4,"Boulevard Edgard Quinet",50147856,Arrière,6,6,,1,"Bagneux - Lucie Aubrac",71056
71450,3,"Avenue Stéphane Mallarmé",50147886,Arrière,5,5,,0,Gallieni,71453
71808,3B,Père-Lachaise,50147892,Arrière,3,3,,0,"Porte des Lilas",71828
71296,3,"Rue du Temple",50147921,Arrière,5,5,,1,"Pont de Levallois - Bécon",71293
71961,2,"244-171 boulevard de la Villette",50147926,Arrière,5,5,,0,Nation,71940
71485,1,"Quartier Bellini",50147944,Avant,2,6,,0,"Château de Vincennes",71442
71673,1,"Terre-plein face au 28 place de la Nation",50147946,Arrière,6,6,,1,"La Défense",71654
71379,1,"80 avenue de la Grande Armée",50147957,Avant,1,6,,0,"Château de Vincennes",71348
73630,1,"Amiral de Coligny (8 rue de l')",50147987,Arrière,6,6,,1,"La Défense",71297
71253,7,"quai du Louvre",50148108,Avant,1,5,,1,"Villejuif - Louis Aragon",71264
