zdc_a,zdb_b,duree_mediane_secondes,nb_observations
73257,490705,445,8
72768,72774,439,12
69281,69288,304,4
72345,72346,1519,14
64191,480612,365,12
65926,65935,390,24
68930,420351,288,4
71756,415682,409,26
70452,482729,409,28
71444,71450,358,36
71337,482368,456,22
70995,70998,443,20
61831,61840,438,4
61926,479388,403,166
73499,73502,379,16
70204,70214,390,8
68243,68252,463,4
65693,65752,465,14
71139,480709,324,56
63875,417424,390,12
71023,71038,474,4
66891,66912,430,12
67575,67632,365,8
60790,73774,447,6
60847,73740,501,2
463577,478845,447,8
71034,71050,464,4
63059,63092,401,8
62722,62749,463,12
70608,70647,405,4
73863,424723,351,2
61041,62642,438,12
69639,69648,382,18
71940,71961,433,86
71475,482350,305,38
71271,71278,567,2
66727,66746,390,16
71435,71445,444,30
71026,71037,430,22
68018,427126,368,6
62761,62821,454,8
69934,73964,489,4
64529,64541,268,4
60856,493456,289,16
71311,71803,433,16
71426,479996,432,56
67321,67322,360,4
65029,65070,390,8
64829,64857,346,2
66787,66794,491,4
62017,62027,320,8
63939,73936,431,8
486692,491992,435,4
66954,69335,457,4
69516,477754,361,16
70899,483401,458,12
71945,71951,461,8
70934,70939,435,8
68371,68380,349,16
70208,482756,417,8
71238,73644,393,18
65745,65761,480,4
71711,491694,363,8
69710,69743,448,10
66201,66258,489,2
73162,73163,479,2
66655,66657,454,6
71370,73617,398,42
66961,66979,379,8
71167,71199,429,50
69454,415789,446,8
73576,73579,473,12
72151,72159,491,2
416494,416499,495,2
64557,64571,456,10
67512,67522,369,4
72228,72240,450,22
71296,71311,440,106
63382,63391,371,8
63516,63545,437,16
71101,71122,475,6
72641,479907,338,18
73505,73515,480,20
65327,65360,439,12
71064,71070,418,4
71780,71786,366,12
67602,478720,463,8
71350,478885,368,52
71148,71153,435,70
60289,60311,477,8
63591,63603,430,8
65561,65592,496,6
70014,427230,398,40
60772,60796,459,8
69776,69794,416,6
65156,65192,456,8
72086,72118,408,4
62950,480712,424,8
72754,72777,458,28
73694,73695,401,30
64232,64240,357,8
60211,422633,348,4
71274,415681,399,48
73939,486748,262,48
70222,70245,433,18
61409,477950,282,8
71000,71008,280,2
71124,73658,453,18
71514,71533,291,6
60551,412655,372,8
65469,65528,468,10
71326,71330,438,36
65802,65852,435,2
65250,65255,469,8
422420,491454,440,16
70588,70648,463,8
72111,72126,425,26
63555,63580,416,10
64780,64804,452,4
71799,482759,399,24
492983,492984,275,4
72935,72944,363,8
72150,72153,480,6
71337,73689,418,124
71803,492967,395,44
69047,69060,434,16
65485,65502,469,12
68904,68910,314,4
72052,480881,385,6
63744,63768,303,8
72150,73706,436,16
64178,64199,475,16
72217,490784,462,24
72774,72781,467,8
71394,73617,438,30
60834,60852,434,20
65390,422497,395,4
64161,64169,441,8
491389,491435,338,2
69423,69432,493,2
69811,69839,455,10
70456,479898,478,8
72667,485971,484,8
73976,479983,484,4
412697,479919,363,40
65909,65911,377,4
70341,70360,487,6
70754,70756,315,8
72078,480726,411,78
72972,73902,403,16
65341,422496,335,8
71010,71030,452,10
422319,422369,477,6
65989,66046,442,2
70796,70807,448,12
64441,64445,474,4
72092,72112,440,14
71432,71451,456,10
66375,496892,464,2
72126,420151,342,64
71006,479953,500,6
72892,495456,371,4
63300,425937,373,8
69998,70031,457,28
485765,485777,392,8
71635,71639,435,18
72237,485810,396,36
72157,72168,471,32
60302,60327,297,8
71300,71318,463,18
64015,64016,447,8
64043,64053,439,6
70808,70819,440,6
62527,62531,403,16
73060,73068,471,8
64939,64974,423,12
64406,480867,344,6
71790,71810,454,4
71277,71803,458,30
62662,62699,453,8
73577,425952,362,12
67277,426550,381,8
72792,72794,493,4
65271,72400,461,4
63812,63815,460,16
68639,68644,445,4
65445,65505,388,10
71697,479928,419,38
71338,71359,387,70
69526,463754,297,2
69738,69775,372,20
71434,71961,438,14
66609,66650,446,14
66161,66201,395,8
72434,72451,448,24
67809,67818,415,8
71150,71162,489,10
59760,59802,356,8
67853,478849,413,4
63535,63564,419,12
70671,70980,461,14
71007,479937,395,12
72137,482910,418,44
415098,427230,454,18
72460,72470,486,16
68143,68148,498,6
70671,478861,408,72
65030,420997,409,8
63508,426579,243,4
63812,461532,398,52
73599,487071,363,4
71455,71479,411,14
479956,479957,395,6
72594,72601,279,4
60581,425895,434,6
63065,63093,392,4
69572,73679,370,8
72722,72727,475,16
70344,70399,359,8
66301,66315,462,8
71370,73690,468,160
70983,70997,443,6
65218,65260,399,16
419197,421878,470,8
71787,463625,463,18
74002,480561,400,56
71558,414773,470,18
62997,63045,485,4
70825,70827,408,2
60941,74183,430,4
71370,482368,444,332
64854,64883,446,24
70532,70536,439,12
70713,473292,370,6
70544,70562,411,20
72665,72674,434,12
69402,69404,401,8
60972,74183,337,2
73733,425945,429,10
70038,70061,433,8
73318,73322,450,6
59948,478608,445,16
65536,65592,334,8
65931,74093,462,32
72717,72731,448,2
59925,59928,407,8
67872,478849,457,4
66725,483478,354,4
62807,62875,447,6
71041,71056,482,20
70703,70711,417,8
64033,64052,500,2
67791,67796,358,16
69471,69474,452,12
72721,72730,428,16
72139,474399,435,8
71921,74044,403,44
70471,70483,468,6
70597,70647,479,8
73279,73288,451,30
60247,473063,424,24
71638,71673,469,28
64490,64500,495,4
70939,423192,360,20
64033,64042,362,2
69735,69751,486,4
60878,60895,478,8
71886,490782,431,24
67418,486124,264,8
64730,64778,444,8
65083,483405,343,8
73448,73450,305,12
70360,70395,483,4
59655,427806,403,16
71254,73644,446,12
64682,64693,454,4
64426,64435,395,18
70674,70988,328,8
70705,479912,408,48
71359,480614,421,82
71149,482787,497,2
66618,419857,327,6
65395,72416,477,4
478926,482368,389,82
73814,73882,430,4
64158,64167,375,8
64589,73715,395,22
69254,415823,445,40
64068,64123,310,4
70581,74217,392,4
72641,72651,413,8
74117,426209,353,16
73731,490704,383,48
65671,65694,428,16
70393,415675,429,44
71087,74019,401,18
67983,68000,367,8
73492,73507,461,6
63013,480712,301,24
61429,61447,418,8
71423,71452,396,56
74001,479990,337,24
71866,491793,385,4
70406,70464,489,2
71722,71751,449,20
71024,71044,383,10
65022,65029,437,8
71277,492967,423,30
73621,73622,432,24
65554,65572,397,8
71002,71018,462,22
72517,72526,435,18
73661,482350,492,14
72364,72366,483,16
63522,426579,409,16
62441,62446,372,8
65138,483240,395,12
60188,60200,464,8
68650,73347,384,20
61021,61035,314,8
61968,481666,346,16
70151,70181,429,2
64975,64995,316,8
70430,70453,428,4
71330,478885,459,15
71031,71033,436,46
70999,492985,306,24
71661,71681,427,6
65487,65520,339,8
71453,71470,412,82
61032,61041,442,4
71062,482824,399,4
64538,73599,449,6
71427,71454,406,12
72305,72316,377,16
72209,72210,482,4
64021,64039,458,8
63989,64009,372,28
71056,464000,429,32
72519,424886,494,2
71173,71202,453,24
64757,487072,429,10
63935,73721,446,18
65491,479310,420,16
70600,70618,464,8
72225,479900,397,14
60940,60987,423,12
70116,70141,428,6
70853,70854,393,16
62808,62865,469,8
73987,73988,417,8
70742,70750,493,6
72244,482673,421,10
64944,64952,462,4
71808,423191,331,56
412677,485891,473,20
63061,63084,366,8
69145,69153,474,4
60930,60941,483,4
72215,72220,419,4
73128,73135,350,4
71485,71503,416,4
63898,73721,455,18
62896,62950,481,6
64872,491120,423,4
73332,73334,435,24
73618,73639,386,43
72205,72215,398,16
68965,68981,484,4
71187,71201,470,20
66962,66965,340,18
415847,482787,434,18
63525,63538,359,8
69471,420144,391,64
63192,63209,493,2
64738,64757,458,16
70238,70255,410,52
72812,72817,381,8
71366,474355,486,2
70628,497021,254,4
64678,64685,414,8
61201,61216,489,8
71877,71879,431,12
71214,71222,456,8
73525,485544,428,12
73040,73041,423,8
62255,62265,359,16
413527,413555,468,8
65083,65095,350,8
71408,71430,470,8
70412,479914,344,12
66276,66311,474,2
73988,74063,400,8
65153,65188,423,24
