lat_coor1;long_coor1;Localisation;Code postal;Ville;Accès;Accès Libre;Complément de localisation;Disponibilité Semaine;Disponibilité Horaires;point_geographique
48.8393223;2.654561;RER A TORCY;77200;Torcy;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.8393223, 2.654561
48.869617;2.3436324;Métro 3 Bourse;75002;PARIS;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.869617, 2.3436324
48.9232118;2.2853281;Station les agnettes;92230;Gennevilliers;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.9232118, 2.2853281
48.8554227;2.3452703;Cité;75001;PARIS;Intérieur;OUI;À côté du bureau de vente Berger;7j/7;Heures ouvrables;48.8554227, 2.3452703
48.8870006;2.1704947;RER Rueil Malmaison;92500;Reuil Malmaison;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.8870006, 2.1704947
48.7341676;2.2740411;GARE MASSY VERRIÈRE;91300;Massy;Intérieur;OUI;Couloir proximité du guichet;7j/7;Heures ouvrables;48.7341676, 2.2740411
48.7995167;2.3286712;RER B Arceuil Cachan;94230;Arceuil;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.7995167, 2.3286712
48.762483;2.3052478;Croix de Berny;92160;Antony;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.762483, 2.3052478
48.9131054;2.3339965;Station mairie de St Ouen;93400;St Ouen;Intérieur;OUI;A proximité du Guichet;7j/7;Heures ouvrables;48.9131054, 2.3339965
48.7252755;2.2599787;RER B MASSY PALAISEAU;91300;MASSY;Intérieur;OUI;Couloir proximité du guichet;7j/7;Heures ouvrables;48.7252755, 2.2599787
48.8389082;2.3217941;Métro Edgar Quinet;75014;PARIS;Intérieur;OUI;Face recette;7j/7;Heures ouvrables;48.8389082, 2.3217941
48.8608606;2.3147823;Métro 13 Varenne;75007;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8608606, 2.3147823
48.8568221;2.353495;Ligne 11 Hôtel de ville;75001;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8568221, 2.353495
48.82593295207692;2.406794593738182;Métro Liberté;94000;Charenton;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.82593295207692, 2.406794593738182
48.893962;2.4149849;Métro 5 Hoche;75019;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.893962, 2.4149849
48.87400;2.3158;Métro Miromesnil;75008;PARIS;Intérieur;OUI;près de la recette;7j/7;Heures ouvrables;48.874, 2.3158
48.86431;2.33005;Métro Tuilerie;75001;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.86431, 2.33005
48.78736261478183;2.29226358332257;RER B Sceaux;92330;Sceaux;Intérieur;OUI;Face à la recette à côté de l'entrée;7j/7;Heures ouvrables;48.78736261478183, 2.29226358332257
48.78074000000004;2.311300000000074;RER Bourg la Reine;92000;Bourg la reine;Intérieur;OUI;Face à l'entrée;7j/7;Heures ouvrables;48.78074000000004, 2.311300000000074
48.9162873;2.2929631;Métro 13 Gabriel Péri;92600;Gennevilliers;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.9162873, 2.2929631
48.81493000000006;2.339930000000038;RER Gentilly;94250;Gentilly;Intérieur;OUI;Face à l'accueil;7j/7;Heures ouvrables;48.81493000000006, 2.339930000000038
48.84564;2.37292;Métro Gare de Lyon;75012;PARIS;Intérieur;OUI;En face guichet;7j/7;Heures ouvrables;48.84564, 2.37292
48.853846;2.2894085;Métro 6 Passy;75016;PARIS;Intérieur;OUI;A côté de la recette proche escalier;7j/7;Heures ouvrables;48.853846, 2.2894085
48.851325970612905;2.343400560266097;Métro Cluny Sorbonne;75005;PARIS;Intérieur;OUI;A l'entrée de la bouche de métro face à la recette;7j/7;Heures ouvrables;48.851325970612905, 2.343400560266097
48.8730499;2.3295083;RER A Auber;75009;PARIS;Intérieur;OUI;Gare Auber face guichet;7j/7;Heures ouvrables;48.8730499, 2.3295083
48.8746744;2.3887098;Métro Pyrénées;75020;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.8746744, 2.3887098
48.8574643;2.3155142;Métro 13 Saint François Xavier;75007;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8574643, 2.3155142
48.8715334;2.4035743;Métro Pelleport;75020;PARIS;Intérieur;OUI;À côté du guichet service;7j/7;Heures ouvrables;48.8715334, 2.4035743
48.83304893284269;2.362618741524258;Métro national;75013;PARIS;Intérieur;OUI;Face aux automates;7j/7;Heures ouvrables;48.83304893284269, 2.362618741524258
48.838741;2.3610969;Métro Saint Marcel;75013;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.838741, 2.3610969
48.8844699;2.3596986;Métro Anvers;75018;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.8844699, 2.3596986
48.86999;2.30754;Métro Franklin D Roosevelt;75008;PARIS;Intérieur;OUI;À côté barrière sortie 1;7j/7;Heures ouvrables;48.86999, 2.30754
