Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Gare de Thun le Paradis;49.0068509,1.9180455;48.8354465461063, 2.132422095620674;"32868;4330";4330;50195000;32;24.7;24700;"{""type"": ""Point"", ""coordinates"": [1.9180455, 49.0068509]}";;;Jules Verne;5;yes;no;yes;yes;yes;528;GRAND VERSAILLES;La Celle-Saint-Cloud;78126;-
Gare de Thun le Paradis;49.0068509,1.9180455;48.83546463058942, 2.1324354187670735;"32868;4330";4330;50230189;32;24.7;24700;"{""type"": ""Point"", ""coordinates"": [1.9180455, 49.0068509]}";;;Jules Verne;5;yes;no;yes;yes;yes;541;DEFENSE SEINE OUEST;La Celle-Saint-Cloud;78126;-
Sidi Brahim;48.8382125,2.3990651;48.85308976153045, 2.2812527538893916;"25518;25528";25528;50230232;"46;46";8.8;8800;"{""type"": ""Point"", ""coordinates"": [2.3990651, 48.8382125]}";yes;STIF 2019-01;Radio France;1;yes;no;yes;yes;no;541;DEFENSE SEINE OUEST;Paris 16e;75116;-
Santé Pôle;48.5565245,2.6426552;48.499328132416196, 2.58020438992791;"427307;474159";427307;50169552;"B;D;O;L";7.86;7860;"{""type"": ""Point"", ""coordinates"": [2.6426552, 48.5565245]}";no;STIF 2019-01;CC Villiers-en-Bière;5;yes;yes;yes;yes;yes;518;GRAND MELUN;Villiers-en-Bière;77518;-
Les Coquettes;48.804329,2.3587019;48.74559491642994, 2.382885494191199;"36731;461142;480133";461142;50147159;131;6.77;6770;"{""type"": ""Point"", ""coordinates"": [2.3587019, 48.804329]}";;;Rue des Quinze Arpents;;;;;;;59;RATP;Orly;94054;-
Les Coquettes;48.804329,2.3587019;48.74559484613846, 2.38287189472503;"36731;461142;480133";461142;50237220;131;6.77;6770;"{""type"": ""Point"", ""coordinates"": [2.3587019, 48.804329]}";;;Rue des Quinze Arpents;;;;;;;547;SEINE ORLY;Orly;94054;-
Gourville;48.5278999,1.7975547;48.5140365084996, 1.7920088256874411;"424221;31662";31662;50200405;;1.6;1600;"{""type"": ""Point"", ""coordinates"": [1.7975547, 48.5278999]}";;;Gourville;5;;;;;;530;CENTRE ET SUD YVELINES;Prunay-en-Yvelines;78506;-
Gourville;48.5278999,1.7975547;48.51455614028363, 1.7917937361387506;"424221;31662";424221;50200404;;1.54;1540;"{""type"": ""Point"", ""coordinates"": [1.7975547, 48.5278999]}";;;Gourville;5;;;;;;530;CENTRE ET SUD YVELINES;Prunay-en-Yvelines;78506;-
Gare de L'Étang - Les Sablons;48.8724332,2.0687847;48.88136017385436, 2.0795123457352855;34727;34727;50174104;;1.27;1270;"{""type"": ""Point"", ""coordinates"": [2.0687847, 48.8724332]}";limited;;Gare de Mareil-Marly;5;;;;yes;yes;532;SAINT GERMAIN BOUCLES DE SEINE;Mareil-Marly;78367;-
Autheil;48.7426895,3.1015629;48.74649353750887, 3.0854767429257097;6023;6023;50178753;2A;1.26;1260;"{""type"": ""Point"", ""coordinates"": [3.1015629, 48.7426895]}";;;Autheil;5;;;;;;512;BRIE ET 2 MORIN;Beautheil-Saints;77433;-
Autheil;48.7428031,3.1014642;48.746520295403705, 3.085789589726696;6022;6022;50178752;2A;1.22;1220;"{""type"": ""Point"", ""coordinates"": [3.1014642, 48.7428031]}";;;Autheil;5;;;;;;512;BRIE ET 2 MORIN;Beautheil-Saints;77433;-
Collège de la Mauldre;48.9044741,1.8587547;48.91272705141192, 1.85306914304777;32401;32401;50201263;"13;28;34;38;511;512";1.01;1010;"{""type"": ""Point"", ""coordinates"": [1.8587547, 48.9044741]}";;;Paul Barré;;;;;yes;;530;CENTRE ET SUD YVELINES;Maule;78380;-
Collège de la Mauldre;48.9044741,1.8587547;48.91265550883687, 1.8531116546505446;32401;32401;50164927;"13;28;34;38;511;512";1.0;1000;"{""type"": ""Point"", ""coordinates"": [1.8587547, 48.9044741]}";;;Paul Barré;;;;;yes;;535;MANTOIS;Maule;78380;-
Saint-Cyr la Rivière;48.3484628,2.1519571;48.35499172576581, 2.148390131553739;12020;12020;50239650;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.1519571, 48.3484628]}";;;St-Cyr-La-Rivière;5;;;;;;524;ESSONNE SUD OUEST;Saint-Cyr-la-Rivière;91544;-
Saint-Cyr la Rivière;48.348562,2.151781;48.35511699598805, 2.148293606162048;12019;12019;50239651;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.151781, 48.348562]}";;;St-Cyr-La-Rivière;5;;;;;;524;ESSONNE SUD OUEST;Saint-Cyr-la-Rivière;91544;-
Saint-Cyr la Rivière;48.348562,2.151781;48.35508101042682, 2.1482941885612594;12019;12019;50174615;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.151781, 48.348562]}";;;Saint Cyr la Rivière Mairie;5;;;;;;900;EX DSP 24;Saint-Cyr-la-Rivière;91544;-
Saint-Cyr la Rivière;48.3484628,2.1519571;48.35494674380936, 2.1483908594683943;12020;12020;50174616;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.1519571, 48.3484628]}";;;Saint Cyr la Rivière Mairie;5;;;;;;900;EX DSP 24;Saint-Cyr-la-Rivière;91544;-
Petit Peugny;48.4329264,3.251151;48.428519629772524, 3.258907164654093;7132;7132;50193862;116;0.75;750;"{""type"": ""Point"", ""coordinates"": [3.251151, 48.4329264]}";yes;STIF 2018-07;Grand Peugny;5;;;;;;514;PROVINOIS – BRIE ET SEINE;Mouy-sur-Seine;77325;-
Plateau;48.4945681,2.7738981;48.49274029768182, 2.765395151720566;30350;30350;50191447;44;0.66;660;"{""type"": ""Point"", ""coordinates"": [2.7738981, 48.4945681]}";no;STIF 2019-01;Plateau;5;;;;no;;516;FONTAINEBLEAU - MORET;Le Châtelet-en-Brie;77100;-
Plateau;48.4944935,2.7739785;48.49275028148395, 2.7658958805150355;30351;30351;50191446;44;0.63;630;"{""type"": ""Point"", ""coordinates"": [2.7739785, 48.4944935]}";no;STIF 2019-01;Plateau;5;;;;no;;516;FONTAINEBLEAU - MORET;Fontaine-le-Port;77188;-
Route de Melun - RD 436;48.8622158,2.8558056;48.85699074347007, 2.85880394205987;10590;10590;50179651;"12;13B";0.62;620;"{""type"": ""Point"", ""coordinates"": [2.8558056, 48.8622158]}";no;STIF 2018-07;Rond-Point RD 436;5;;;;;;512;BRIE ET 2 MORIN;Coutevroult;77141;-
Lycée Léonard de Vinci;48.8921587,2.0647178;48.897396412282816, 2.0622191280387367;34898;34898;50203791;"R6;14;R1";0.61;610;"{""type"": ""Point"", ""coordinates"": [2.0647178, 48.8921587]}";yes;;Lycée Léonard de Vinci;4;yes;yes;;yes;;502;CERGY-PONTOISE CONFLUENCE;Saint-Germain-en-Laye;78551;-
Fernand Fourcade;48.7760551,2.260091;48.78014433943494, 2.2554876784327687;12097;12097;50175432;;0.57;570;"{""type"": ""Point"", ""coordinates"": [2.260091, 48.7760551]}";;;Carreau - Garnier;;no;no;no;no;no;537;BIEVRE;Le Plessis-Robinson;92060;-
Centre - Rue de Paris;48.7817468,3.3045677;48.78627257704843, 3.302330412606704;8592;8592;50178757;17;0.53;530;"{""type"": ""Point"", ""coordinates"": [3.3045677, 48.7817468]}";no;STIF 2019-01;Avenue de Rebais;5;;;;;;512;BRIE ET 2 MORIN;La Ferté-Gaucher;77182;-
Centre - Rue de Paris;48.7818264,3.3045936;48.78627257704843, 3.302330412606704;8592;8592;50178757;17;0.52;520;"{""type"": ""Point"", ""coordinates"": [3.3045936, 48.7818264]}";no;STIF 2019-01;Avenue de Rebais;5;;;;;;512;BRIE ET 2 MORIN;La Ferté-Gaucher;77182;-
Montjay;48.6836793,2.1591996;48.67959000447237, 2.1627322376486715;"11349;11327";11327;50175908;"3;4";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.1591996, 48.6836793]}";no;STIF 2019-01;Thomas;5;yes;yes;yes;yes;no;526;PARIS SACLAY;Les Ulis;91692;-
Maisons-Alfort - Alfortville Noctilien;48.8031584,2.433884;48.80164199068545, 2.427165142972438;411300;411300;50180676;"N132;N134";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.433884, 48.8031584]}";;;Gare de Maisons-Alfort Alfortville;3;yes;no;yes;yes;no;520;VAL D’YERRES VAL DE SEINE;Maisons-Alfort;94046;-
Montjay;48.6836793,2.1591996;48.67958962297517, 2.1626779098473117;"11349;11327";11327;50184523;"3;4";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.1591996, 48.6836793]}";no;STIF 2019-01;Thomas;5;yes;yes;yes;yes;no;100;PARISSACLAYMOBILITES;Les Ulis;91692;-
Maisons-Alfort - Alfortville Noctilien;48.8031584,2.433884;48.80164186019426, 2.4271379147011283;411300;411300;50211324;"N132;N134";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.433884, 48.8031584]}";;;Gare de Maisons Alfort Alfortville;3;yes;no;yes;yes;no;516;FONTAINEBLEAU - MORET;Maisons-Alfort;94046;-
