Ligne;Station ou Gare;Longitude;Latitude;Adresse;Code postal;Commune;Numéro de l'accès à la station le plus proche ;"Nom de l'accès à la station le plus proche 
";En zone contrôlée ou non;Point_geographique;"Identifiant 
RATP";id IDM de l'accès le plus proche
3;Métro Gambetta;2.398237000000000;48.864901099999997;10 Place Gambetta;75020;Paris;2.0;pl. Gambetta;en zone contrôlée;48.8649011, 2.398237;8.0;50147895.0
4;Métro Denfert-Rochereau;2.331880500000000;48.834250400000002;4 Avenue du Colonel Henri Rol Tanguy;75014;Paris;1.0;pl. Denfert-Rochereau;;48.8342504, 2.3318805;11.0;50147853.0
6;Métro Nation;2.395229900000000;48.847781800000000;6 Place de la Nation / Rue Dorian;75011;Paris;2.0;av. Dorian;;48.8477818, 2.3952299;16.0;50148053.0
9;Métro Saint-Augustin;2.321390000000000;48.874532600000002;85 Boulevard Haussmann;75008;Paris;2.0;bd Haussmann;;48.8745326, 2.32139;22.0;50148290.0
A;RER Gare de Lyon;2.374085700000000;48.843773200000001;174 Rue de Bercy;75012;Paris;2.0;Min. Économie et Finances;;48.8437732, 2.3740857;28.0;50147982.0
A;RER Nanterre-Préfecture;2.222746200000000;48.895963899999998;Place François Mitterrand;92000;Nanterre;1.0;Carillon;;48.8959639, 2.2227462;29.0;50148545.0
7;Métro Poissonnière;2.349333200000000;48.877303099999999;96 Rue La Fayette (Terre-plein);75010;Paris;2.0;r. de Chabrol;;48.8773031, 2.3493332;39.0;50148814.0
10;Métro Boulogne-Jean Jaures;2.238925200000000;48.842066400000000;25 Boulevard Jean Jaurès;92100;Boulogne;;bd Jean Jaurès / rue du Château / côté des n° pairs;;48.8420664, 2.2389252;47.0;50148382.0
10;Métro Charles Michels;2.286216300000000;48.846415600000000;36 bis Rue des Entrepreneurs;75015;Paris;2.0;r. des Entrepreneurs;;48.8464156, 2.2862163;49.0;50148372.0
9;Croix de Chavaux;2.4357957;48.8579814;Place Jacques Duclos/Boulevard Chanzy;93100;Montreuil;;;;48.8579814, 2.4357957;71.0;109091.0
14;Madeleine;2.3253215;48.8706375;20, place de la Madeleine;75008;Paris;;;;48.8706375, 2.3253215;78.0;118047.0
14;Gare de Lyon SA238;2.3749152;48.8428333;201 Rue de Bercy;75012;Paris;;;;48.8428333, 2.3749152;79.0;118053.0
A;Bussy-Saint-Georges;2.7094370;48.8365977;Rocade de la Gare;77600;Bussy St Georges;;;;48.8365977, 2.709437;81.0;146049.0
1;Château de Vincennes;2.4375576;48.8446970;10 Avenue de Paris;94300;Vincennes;;;;48.844697, 2.4375576;82.0;101033.0
13;Basilique St Denis;2.3592363;48.9366472;21 Place du Caquet;93200;Saint-Denis;;;en zone contrôlée;48.9366472, 2.3592363;88.0;114081.0
4;Métro Châtelet;2.347592300000000;48.857632799999998;Place du Châtelet;75001;Paris;16.0;pl. du Châtelet;;48.8576328, 2.3475923;10.0;50147797.0
5;Métro Bastille;2.369746600000000;48.852041900000003;146 Rue de Lyon;75012;Paris;4.0;r. de Lyon;;48.8520419, 2.3697466;15.0;50148660.0
