pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50148638:monomodalStopPlace:47009,IDFM:StopPlaceEntrance:50148638,IDFM:monomodalStopPlace:47009,1,1,128.43,136,,,,,
IDFM:StopPlaceEntrance:50148639:monomodalStopPlace:47009,IDFM:StopPlaceEntrance:50148639,IDFM:monomodalStopPlace:47009,1,1,93.43,99,,,,,
IDFM:StopPlaceEntrance:50170264:monomodalStopPlace:47095,IDFM:StopPlaceEntrance:50170264,IDFM:monomodalStopPlace:47095,1,1,102.61,108,,,,,
IDFM:StopPlaceEntrance:50170458:monomodalStopPlace:47095,IDFM:StopPlaceEntrance:50170458,IDFM:monomodalStopPlace:47095,1,1,83.05,88,,,,,
IDFM:StopPlaceEntrance:50170597:486895,IDFM:StopPlaceEntrance:50170597,IDFM:486895,1,1,55.38,58,,,,,
IDFM:StopPlaceEntrance:50170597:486897,IDFM:StopPlaceEntrance:50170597,IDFM:486897,1,1,57.65,61,,,,,
IDFM:StopPlaceEntrance:50170368:486895,IDFM:StopPlaceEntrance:50170368,IDFM:486895,1,1,72.84,77,,,,,
IDFM:StopPlaceEntrance:50170368:486897,IDFM:StopPlaceEntrance:50170368,IDFM:486897,1,1,73.12,77,,,,,
IDFM:StopPlaceEntrance:50148647:monomodalStopPlace:47052,IDFM:StopPlaceEntrance:50148647,IDFM:monomodalStopPlace:47052,1,1,152.36,161,,,,,
IDFM:StopPlaceEntrance:50148772:monomodalStopPlace:47052,IDFM:StopPlaceEntrance:50148772,IDFM:monomodalStopPlace:47052,1,1,158.53,168,,,,,
IDFM:StopPlaceEntrance:50148645:monomodalStopPlace:47046,IDFM:StopPlaceEntrance:50148645,IDFM:monomodalStopPlace:47046,1,1,89.53,95,,,,,
IDFM:StopPlaceEntrance:50148789:monomodalStopPlace:47046,IDFM:StopPlaceEntrance:50148789,IDFM:monomodalStopPlace:47046,1,1,87.23,92,,,,,
IDFM:StopPlaceEntrance:50148245:21940,IDFM:StopPlaceEntrance:50148245,IDFM:21940,1,1,238.38,253,,,,,
IDFM:StopPlaceEntrance:50148245:462914,IDFM:StopPlaceEntrance:50148245,IDFM:462914,1,1,243.39,258,,,,,
IDFM:StopPlaceEntrance:50148244:21940,IDFM:StopPlaceEntrance:50148244,IDFM:21940,1,1,73.89,78,,,,,
IDFM:StopPlaceEntrance:50148244:462914,IDFM:StopPlaceEntrance:50148244,IDFM:462914,1,1,75.77,80,,,,,
IDFM:StopPlaceEntrance:50148246:21940,IDFM:StopPlaceEntrance:50148246,IDFM:21940,1,1,238.06,252,,,,,
IDFM:StopPlaceEntrance:50148246:462914,IDFM:StopPlaceEntrance:50148246,IDFM:462914,1,1,238.09,252,,,,,
IDFM:StopPlaceEntrance:50148241:462914,IDFM:StopPlaceEntrance:50148241,IDFM:462914,1,1,70.01,74,,,,,
IDFM:StopPlaceEntrance:50148241:21940,IDFM:StopPlaceEntrance:50148241,IDFM:21940,1,1,78.69,83,,,,,
IDFM:21940:StopPlaceEntrance:50148240,IDFM:21940,IDFM:StopPlaceEntrance:50148240,1,0,71.36,75,,,,,
IDFM:462914:StopPlaceEntrance:50148240,IDFM:462914,IDFM:StopPlaceEntrance:50148240,1,0,79.48,84,,,,,
IDFM:StopPlaceEntrance:50148243:462914,IDFM:StopPlaceEntrance:50148243,IDFM:462914,1,1,72.61,77,,,,,
IDFM:StopPlaceEntrance:50148243:21940,IDFM:StopPlaceEntrance:50148243,IDFM:21940,1,1,85.85,91,,,,,
IDFM:StopPlaceEntrance:50148242:462914,IDFM:StopPlaceEntrance:50148242,IDFM:462914,1,1,42.84,45,,,,,
IDFM:StopPlaceEntrance:50148242:21940,IDFM:StopPlaceEntrance:50148242,IDFM:21940,1,1,60.01,63,,,,,
IDFM:StopPlaceEntrance:50147978:463043,IDFM:StopPlaceEntrance:50147978,IDFM:463043,1,1,148.81,157,,,,,
IDFM:StopPlaceEntrance:50147978:monomodalStopPlace:58759,IDFM:StopPlaceEntrance:50147978,IDFM:monomodalStopPlace:58759,1,1,153.2,162,,,,,
IDFM:StopPlaceEntrance:50147978:22094,IDFM:StopPlaceEntrance:50147978,IDFM:22094,1,1,160.23,170,,,,,
IDFM:StopPlaceEntrance:50147978:22086,IDFM:StopPlaceEntrance:50147978,IDFM:22086,1,1,169.25,179,,,,,
IDFM:StopPlaceEntrance:50147978:463013,IDFM:StopPlaceEntrance:50147978,IDFM:463013,1,1,173.76,184,,,,,
IDFM:StopPlaceEntrance:50147978:22095,IDFM:StopPlaceEntrance:50147978,IDFM:22095,1,1,175.87,186,,,,,
IDFM:StopPlaceEntrance:50147978:463042,IDFM:StopPlaceEntrance:50147978,IDFM:463042,1,1,200.29,212,,,,,
IDFM:StopPlaceEntrance:50170084:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50170084,IDFM:monomodalStopPlace:47136,1,1,25.16,26,,,,,
IDFM:StopPlaceEntrance:50170085:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50170085,IDFM:monomodalStopPlace:47136,1,1,30.61,32,,,,,
IDFM:StopPlaceEntrance:50171317:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50171317,IDFM:monomodalStopPlace:47136,1,1,30.6,32,,,,,
IDFM:StopPlaceEntrance:50171318:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50171318,IDFM:monomodalStopPlace:47136,1,1,1.2,1,,,,,
