﻿ID;Numéro;Secteur;Photo du plan;URL;Département;Taille du fichier (Mo);Date de publication;Format
1;3;Secteur Paris;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/676e9d7794b04ed95ee5879032eb8df0;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan03.pdf;75;4.5;2026-01;pdf
2;4;Secteur Hauts-de-Seine Sud;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/9c9d403dd06bbae02fcd73b096b1bdce;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan04.pdf;92,78,91;3.2;2025-01;pdf
3;5;Secteur à l'Ouest de Paris;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/7ac45df0fd7864abbac50b3e72f517c9;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan05.pdf;92;1.9;2025-03;pdf
4;6;Secteur Hauts-de-Seine Nord;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/f39c0d945bf5196c9c10b09326fbf32f;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan06.pdf;92;2.2;2024-03;pdf
5;7;Secteur au Nord de Paris;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/7cf8db20b427e9c2ec55d794bf5ab5e0;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan07.pdf;93;2;2026-01;pdf
6;8;Secteur Seine St-Denis Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/0aab07d6bf79d8ce5ea630a412ed4cdf;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan08.pdf;93;2.2;2024-06;pdf
7;9;Secteur Seine St-Denis Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/dce1f28c1326c59e05087cbc19340e6e;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan09.pdf;93;3;2025-06;pdf
8;10;Secteur à l'Est de Paris;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/e9f620350a78093f6040150889e63448;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan10.pdf;93;2.2;2026-06;pdf
9;11;Marne-la-Vallée;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/d7b99d45d9a4e57c7fb2da5b679983c5;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan11.pdf;93,94;1.7;2025-06;pdf
10;12;Secteur Val-de-Marne;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/712fdca68a743ee93f91edc6a5f5b175;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan12.pdf;94;1.4;2025-07;pdf
11;13;Secteur au Sud de Paris;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/55f0fd345d795aef2693b92db7302dfc;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan13.pdf;94;2.9;2024-09;pdf
12;14;Secteur Essonne Nord;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/b8cc1f9c76c373415f0139dfde0c70b5;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan14.pdf;91;1.8;2025-09;pdf
13;15;Hauts-de-Bièvre;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/145ca2272ad51ca69a129d6f7da1eeba;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan15.pdf;78,91,94;5.7;2023-05;pdf
15;18;Argenteuil Bezons Houilles et Sartrouville;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/d5b219b9e8411f4fcad2aba53efef734;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan18.pdf;95;2.4;2024-07;pdf
16;19;Secteur Seine-Saint-Denis Nord;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/82af669f62d39c3c4c0df2ff5355d31d;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan19.pdf;93;1.5;2025-01;pdf
17;20;Secteur Sud-Est Val-de-Marne;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/f84cce72a814c108eb0a1172b6e8d7ad;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan20.pdf;94;3.1;2024-09;pdf
18;21;Secteur Sud Val-de-Marne;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/850e1c61fa679d6526fe1b3ad4178dce;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan21.pdf;94;2.8;2024-09;pdf
19;22;Secteur du Grand Orly;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/b34eb35087d15527524677a7f647149e;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan22.pdf;94,91;5.7;2025-03;pdf
20;23;Secteur d'Orsay;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/10bddea82e97064df59461046a2761c8;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan23.pdf;91;10.2;2020-02;pdf
21;24_1;Secteur de Versailles Grand Parc - Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/fb3e68f5d34b237d4ff157c8fd444b77;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan24-1.pdf;78;3.1;2026-05;pdf
22;24_2;Secteur de Versailles Grand Parc - Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/f7ee597e81610c9b2f19ab5ba59f05b2;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan24-2.pdf;78;3.5;2023-09;pdf
23;25;Secteur Montesson Boucle de Seine;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/b2cba6615166e781d4a9a717dafd4c15;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan25.pdf;78,92;1.9;2024-07;pdf
24;26;Secteur du Parisis;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/8b547bf053aaf27a4d9be4007d01e504;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan26.pdf;95;3.6;2019-05;pdf
25;27;Vallée de Montmorency;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/717be4415a7011c6ea8bf5ff606194db;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan27.pdf;95;1.9;2025-02;pdf
26;28;Secteur Bassin de Gonesse;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/bae91b364771ec8ea7f2dedd577bfca1;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan28.pdf;93,95;1.8;2020-01;pdf
27;29;Secteur Roissy Sud;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/ff83794c02d017bb61775d74ce716901;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan29.pdf;95;1.1;2025-02;pdf
28;30;Bassin Chellois;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/1cc99b9d5068061a4f47c2c9c8b50874;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan30.pdf;77;6;2020-09;pdf
29;31;Secteur Brie-Comte-Robert;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/6bc0ba57de13f022c736d49234db224a;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan31.pdf;77;1.3;2020-06;pdf
30;32;Secteur Val d’Yerres Val de Seine Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/8a4e18a82d5a8b540a1b31e10797f5d3;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan32.pdf;91;2.9;2025-01;pdf
31;33;Secteur Val d’Yerres Val de Seine Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/da24a2f058f0a97e7a2a80b7432636f9;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan33.pdf;91;1.7;2025-01;pdf
32;34_1;Bassin d’Évry - Secteur Nord;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/36d5608b75f8dfd33fad540641f9e897;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan34-1.pdf;91;1.4;2020-07;pdf
33;34_2;Bassin d’Évry - Secteur Sud;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/ace80e46d7477bc5f56172a0383bd4e9;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan34-2.pdf;91;1.4;2020-07;pdf
34;35_1;Bassin de la Vallée de l'Orge - Secteur Nord;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/4442dcbc477e608c2b6e45e903db2afe;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan35-1.pdf;91;3.2;2025-01;pdf
35;35_2;Bassin de la Vallée de l'Orge - Secteur Sud;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/658fce2d97b54add3914737546e414f9;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan35-2.pdf;91;1.8;2025-01;pdf
37;37;Pays de Limours;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/471ea4e308f029cdfa7c5faedcec1c9d;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan37.pdf;77,91;2.1;2018-04;pdf
38;38;Saint-Quentin-en-Yvelines;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/7065fda2606d4d6030dc2ecff9cb1e8f;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan38.pdf;78;5.9;2024-04;pdf
39;39;Secteur Plaine de Versailles;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/d18c48101d00788f8303a1e67f29d477;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan39.pdf;78;5.2;2016-09;pdf
40;40;Secteur Saint-Germain-en-Laye;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-de-secteur/files/3b8c023616987f8c5748b077e05f621d;https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan40.pdf;78;18.1;2024-12;pdf
