﻿ID;Ordre d'affichage;Nom du Plan;Vignette;URL;Poids (Mo);Date de publication;Format
1;1;Plan Métro;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/c33ebbe9ff386d4be18ec2940e9b7ec2;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/METRO.pdf;0.2;2026-01;pdf
18;2;Plan Métro sans carroyage;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/c33ebbe9ff386d4be18ec2940e9b7ec2;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/METRO_sans_carroyage.pdf;0.2;2026-01;pdf
2;3;Plan du réseau régional des transports;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/0034f79541384bb6ae888166cef58a94;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/Region_GF.pdf;1.3;2026-07;pdf
12;4;Plan du réseau régional des transports - Moyen Format - version complète;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/c8975c49f0afb2d164fbf22662b564c9;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/REGION_MF_complete.pdf;0.4;2026-01;pdf
13;5;Plan du réseau régional des transports - Moyen Format - version allégée;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/20350658b60a8e98169db78a8d28b2e1;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/REGION_MF_allegee.pdf;0.4;2026-01;pdf
14;6;Plan du réseau régional des transports - Petit Format - avec tram;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/510ee67f8749c65a0a267bf37a4000d6;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/REGION_PF_avec_tram.pdf;0.3;2026-01;pdf
15;7;Plan du réseau régional des transports - Petit Format - sans tram;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/da6b6d4fb0aa9d5b881a4aea669ccebb;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/REGION_PF_sans_tram.pdf;0.3;2026-01;pdf
19;8;Plan du réseau régional des transports - Petit Format - avec tram et sans carroyage;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/510ee67f8749c65a0a267bf37a4000d6;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/REGION_PF_avec_tram_sans_carroyage.pdf;0.3;2026-01;pdf
3;12;Plan Poche du réseau régional des transports;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/87d5057258da9199c1848f7d0d7c33be;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/PLAN_POCHE_RESEAU.pdf;1.0;2026-01;pdf
6;13;Plan du réseau de Nuit (schématique);https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/4b47841069a51710888fae4f2ce77f09;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/NOCTILIEN_MF.pdf;0.8;2026-07;pdf
25;16;Plan du réseau de Nuit - Poster;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/862e8fc79e5ea074a5513113efb78eaf;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/NOCTILIEN_poster.pdf;9.5;2026-03;pdf
7;17;Plan du réseau de Nuit - Paris et Nord Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/c21066ee72eece290e397e046ed52d4b;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/1_NOCTILIEN_NO.pdf;3.3;2026-07;pdf
8;18;Plan du réseau de Nuit - Paris et Nord Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/9fad56c8f7af03d080c22e0a3f4e4090;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/2_NOCTILIEN_NE.pdf;5.3;2026-07;pdf
9;19;Plan du réseau de Nuit - Paris et Sud Est;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/972f52b9fded11a6d6022d963d5e4701;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/3_NOCTILIEN_SE.pdf;4.1;2026-07;pdf
10;20;Plan du réseau de Nuit - Paris et Sud Ouest;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/4b6cea8980e4d6765dfe17cf42b3925d;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/4_NOCTILIEN_SO.pdf;3.4;2026-07;pdf
4;21;Plan Facile à lire;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/838e5e77b348512f031e13be271ca2f1;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/FAL.pdf;1.1;2025-10;pdf
5;22;Plan pour les voyageurs en fauteuil roulant;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/31ca262b55fb649082b1061b430cd8cf;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/UFR.pdf;1.2;2025-09;pdf
17;23;Plan Paris pour les personnes à mobilité réduite;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/6def5f95b40aac2f2c258912c3efec62;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/Paris_PMR.pdf;7.3;2025-09;pdf
11;24;Parkings Relais Labellisés;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/3a92d2b9606c80518fe97b4a83686a53;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/PR_labellises.pdf;1.8;2025-01;pdf
16;25;Parkings Relais Labellisés gratuits;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/plans-region/files/3fd258d3cb0cc0e2b057cae74d6298ad;https://eu.ftp.opendatasoft.com/stif/PlansRegion/Plans/PR_labellises_gratuits.pdf;1.9;2024-01;pdf
