PdVId;PdVName;PdVTypeID;PdVOpeningHours;PdVAddressLine1;PdVHousenumber;PdVStreet;PdVPostCode;PdVTown;PdVPostCodeExtension;PdVLatitude;PdVLongitude;PdVPostalRegion;PdVEasyAutomate;ZdAId;point_geo;ServiceType;pdvtypename
DEP-7-530526;La Bonne Fortune;7;Lundi-Dimanche;;65;Avenue François Mitterrand;94000;CRÉTEIL;;48.769114;2.465314;94028;0;0;48.769114, 2.465314;Vente;Commerce de proximité
DEP-7-520406;Librairie Fontaine;7;Lundi-Dimanche;;14;Rue Arthur Fontaine;93700;DRANCY;;48.919021;2.455505;93029;0;0;48.919021, 2.455505;Vente;Commerce de proximité
DEP-7-520709;Tabac Le Flash;7;;;1;Place Gabriel Péri;93440;DUGNY;;48.954838;2.41661;93030;0;0;48.954838, 2.41661;Vente;Commerce de proximité
DEP-7-530441;Le Diplomate;7;;;57;Avenue de la Rèpublique;94260;FRESNES;;48.760069;2.319043;94034;0;0;48.760069, 2.319043;Vente;Commerce de proximité
DEP-7-510663;Des Champs Philippe;7;;;4;Place des Champs Philippe;92250;LA GARENNE-COLOMBES;;48.90381;2.233699;92035;0;0;48.90381, 2.233699;Vente;Commerce de proximité
DEP-7-540004;Tabac Du Babylone;7;Lundi-Dimanche;;5;Avenue Faidherbe;93310;LE PRÉ-SAINT-GERVAIS;;48.879994;2.411131;93061;0;0;48.879994, 2.411131;Vente;Commerce de proximité
DEP-7-520581;Tabac D' Hugo;7;;;2;Avenue Victor Hugo;93320;LES PAVILLONS-SOUS-BOIS;;48.910414;2.512393;93057;0;0;48.910414, 2.512393;Vente;Commerce de proximité
DEP-7-510669;Civette De Neuilly;7;;;105;Avenue Charles de Gaulle;92200;NEUILLY-SUR-SEINE;;48.881045;2.271068;92051;0;0;48.881045, 2.271068;Vente;Commerce de proximité
DEP-7-530156;Et Cetera;7;Lundi-Dimanche;;10;Rue des Halles;75001;PARIS;;48.859738;2.346915;75101;0;0;48.859738, 2.346915;Vente;Commerce de proximité
DEP-7-530140;La Corona;7;Lundi-Dimanche;;21;Boulevard Saint-Michel;75005;PARIS;;48.851544;2.34347;75105;0;0;48.851544, 2.34347;Vente;Commerce de proximité
DEP-7-540653;Tabac De L'Arrivée;7;Lundi-Dimanche;;14;Boulevard de l'Hôpital;75005;PARIS;;48.842263;2.363174;75105;0;0;48.842263, 2.363174;Vente;Commerce de proximité
DEP-7-530357;Tabac Eiffel;7;;;22;Avenue de la Bourdonnais;75007;PARIS;;48.858934;2.297873;75107;0;0;48.858934, 2.297873;Vente;Commerce de proximité
DEP-7-510235;Le Vizir;7;Lundi-Dimanche;;42;Rue la Fayette;75009;PARIS;;48.874628;2.339564;75109;0;0;48.874628, 2.339564;Vente;Commerce de proximité
DEP-7-520558;Tabac Le Jean Bart;7;;;17;Rue Pétion;75011;PARIS;;48.858917;2.381263;75111;0;0;48.858917, 2.381263;Vente;Commerce de proximité
DEP-7-540548;La Civette De Bercy;7;;;4;Passage Saint-Emilion;75012;PARIS;;48.833066;2.387022;75112;0;0;48.833066, 2.387022;Vente;Commerce de proximité
DEP-7-530194;La Bouffarde;7;Lundi-Dimanche;;124;Rue de Tolbiac;75013;PARIS;;48.82628;2.359471;75113;0;0;48.82628, 2.359471;Vente;Commerce de proximité
DEP-7-530622;Le Lonchamps;7;Lundi-Dimanche;;21;Rue de la Butte aux Cailles;75013;PARIS;;48.827621;2.349661;75113;0;0;48.827621, 2.349661;Vente;Commerce de proximité
DEP-7-530272;Tabac De La Mairie;7;Lundi-Dimanche;;165;Avenue du Maine;75014;PARIS;;48.832913;2.325056;75114;0;0;48.832913, 2.325056;Vente;Commerce de proximité
DEP-7-510647;Le Falguière;7;;;129;Rue de Vaugirard;75015;PARIS;;48.844485;2.318257;75115;0;0;48.844485, 2.318257;Vente;Commerce de proximité
DEP-7-510538;Le Calumet;7;Lundi-Dimanche;;145;Avenue de Villiers;75017;PARIS;;48.885438;2.292172;75117;0;0;48.885438, 2.292172;Vente;Commerce de proximité
DEP-7-510592;Tabac 68;7;Lundi-Dimanche;;68;Rue du Poteau;75018;PARIS;;48.8955;2.339991;75118;0;0;48.8955, 2.339991;Vente;Commerce de proximité
DEP-7-510619;La Royale;7;;;2;Place de la Chapelle;75018;PARIS;;48.884655;2.360809;75118;0;0;48.884655, 2.360809;Vente;Commerce de proximité
DEP-7-520583;Civette Télègraphe;7;;;1;Rue de Romainville;75019;PARIS;;48.875743;2.399209;75119;0;0;48.875743, 2.399209;Vente;Commerce de proximité
DEP-7-520575;Tabac Au Bon Coin;7;;;2;Boulevard Davout;75020;PARIS;;48.847548;2.411524;75120;0;0;48.847548, 2.411524;Vente;Commerce de proximité
DEP-7-520399;Le Ninos;7;Lundi-Dimanche;;203;Avenue Élisée Reclus;93380;SAINT-DENIS;;48.950241;2.357871;93066;0;0;48.950241, 2.357871;Vente;Commerce de proximité
DEP-7-520422;Le Carnot;7;Lundi-Dimanche;;1;Avenue de Verdun;93230;ROMAINVILLE;;48.883674;2.440312;93063;0;0;48.883674, 2.440312;Vente;Commerce de proximité
DEP-7-520729;Le Terminus;7;;;10;Rue de la Gare;93270;SEVRAN;;48.935535;2.534049;93071;0;0;48.935535, 2.534049;Vente;Commerce de proximité
DEP-7-520253;Tabac De La Gare;7;Lundi-Dimanche;;12;Place de la Gare Pierre Sémard;94350;VILLIERS-SUR-MARNE;;48.823523;2.541998;94079;0;0;48.823523, 2.541998;Vente;Commerce de proximité
DEP-7-530586;Civette Rennes;7;;;111;Rue de Rennes;75006;PARIS;;48.848436;2.328428;75106;0;0;48.848436, 2.328428;Vente;Commerce de proximité
DEP-7-530319;Café De L'Université;7;Lundi-Dimanche;;151;Rue de l'Université;75007;PARIS;;48.861069;2.305315;75107;0;0;48.861069, 2.305315;Vente;Commerce de proximité
DEP-7-520702;Tabac Alexandre;7;;;179;Quai de Valmy;75010;PARIS;;48.880193;2.367085;75110;0;0;48.880193, 2.367085;Vente;Commerce de proximité
DEP-7-540661;Habanos;7;Lundi-Dimanche;;32;Boulevard Richard Lenoir;75011;PARIS;;48.856908;2.371274;75111;0;0;48.856908, 2.371274;Vente;Commerce de proximité
DEP-7-520641;La Civette Daumesnil;7;Lundi-Dimanche;;242;Avenue Daumesnil;75012;PARIS;;48.837148;2.401605;75112;0;0;48.837148, 2.401605;Vente;Commerce de proximité
DEP-7-530495;Le Bardinet;7;;;179;Rue d'Alésia;75014;PARIS;;48.831011;2.317249;75114;0;0;48.831011, 2.317249;Vente;Commerce de proximité
DEP-7-510522;Plum2000;7;Lundi-Dimanche;;174;Rue de la Pompe;75016;PARIS;;48.870864;2.283375;75116;0;0;48.870864, 2.283375;Vente;Commerce de proximité
DEP-7-510324;Le Voltigeur;7;Lundi-Dimanche;;118;Boulevard Berthier;75017;PARIS;;48.888805;2.300828;75117;0;0;48.888805, 2.300828;Vente;Commerce de proximité
DEP-7-510600;Tabac La Comète;7;;;50;Rue Marx Dormoy;75018;PARIS;;48.887742;2.360017;75118;0;0;48.887742, 2.360017;Vente;Commerce de proximité
DEP-7-520474;Tabac La Gitane;7;;;3;Rue Lassus;75019;PARIS;;48.875275;2.389018;75119;0;0;48.875275, 2.389018;Vente;Commerce de proximité
DEP-7-520580;Tabac La Lorraine;7;Lundi-Dimanche;;127;Avenue Jean Jaurès;75019;PARIS;;48.886403;2.382719;75119;0;0;48.886403, 2.382719;Vente;Commerce de proximité
DEP-7-520003;Tabac De La Mairie;7;Lundi-Dimanche;;3;Rue de Paris;93230;ROMAINVILLE;;48.884242;2.432417;93063;0;0;48.884242, 2.432417;Vente;Commerce de proximité
