zdc,label
71139,"Maine Montparnasse"
71808,Père-Lachaise
71485,"Quartier Bellini"
73661,"Marché des Batignolles"
72486,"Mc 93 Maison de la Culture"
71634,"Château de Vincennes"
71297,"Le Louvre des Antiquaires"
71318,"Palais de la Découverte"
71961,"Bassin de la Villette"
71133,"Arènes de Lutèce"
71084,"Parc des Princes"
71370,"Galeries marchandes - Gare Saint-Lazare"
63284,"Orly 4 - T7 - Cur d'Orly"
71808,"Hôpital Tenon"
71033,"Manufacture des Gobelins"
71298,"Jardin des Tuileries"
72118,"Hôpital Gouin"
71517,"Défense (rond-point de la Défense)"
73794,"Porte du Jour"
71572,"Bibliothèque François Mitterrand"
71264,"Théâtre du Châtelet"
73635,"Palais Brongniart"
70021,"Le Mont-Mesly"
73620,"Musée du moyen Age"
463564,"Port de l'Arsenal"
71576,"Cour Chamonard"
72217,"Centre Paris - Pleyel"
69974,"ZAC Lallier"
72326,Basilique
71485,"Quartier Saisons"
71403,"Parc de Monceau"
71370,"Cour de Rome"
70452,"Hôpital Kremlin Bicêtre"
71242,"Les Invalides Tombeau de l'Empereur - Musée de l'Armée"
71277,"Cirque d'Hiver"
73675,"Hôpital Léopold Bellan"
72285,"Stade de France"
72285,"Musée d'Art et d'Histoire"
70522,"Musée Fragonard"
73633,"Porte Saint-Martin"
73689,"Galeries La Fayette"
415852,"Bazar de l'Hôtel de Ville"
73620,Notre-Dame
71359,"SNCF Gare de l'Est"
73618,"Carrefour de l' Odéon"
71216,"Ecole des Beaux Arts"
71030,"Eglise Saint Pierre de Montrouge"
73794,"Porte Saint-Eustache"
73794,"Porte du Louvre"
71337,"Théâtre National de l'Opéra"
73651,"La Pitié-Salpêtrière"
63284,"Orly 1-2-3"
473829,"Tour Eiffel"
72064,"Rond Point de la Chapelle"
71135,"Jardin des Plantes"
71076,"Manufacture des Gobelins"
71157,"UNESCO - Fontenoy"
71359,"Gare de l'Est"
463564,"Hôpital des Quinze-Vingts"
74001,"Hôpital St-Antoine"
71135,"La Pitié - Salpétrière"
71157,"UNESCO - Miollis"
70721,"Musée Albert Kahn"
71485,"Quartier Iris"
71326,"Musée Grévin"
71201,"Préfecture de Paris"
463564,"Opéra Bastille"
71347,"Arc de Triomphe"
73690,"Église Saint-Augustin"
72118,"Hôpital Beaujon"
72486,"Préfecture Trésorerie"
71294,"Palais d'Iéna"
71290,"Pont de l'Alma"
73619,"Musée du Moyen-Âge"
71485,"Quartier Michelet"
71092,"La Pitié-Salpêtrière"
71124,"Hôpital Henry Dunant"
71367,"Salle Pleyel"
72430,"Cité des Sciences - La Géode - Le Zénith"
71217,"Pont Marie"
71190,Panthéon
71190,"Palais de la Mutualité"
71045,"Palais des Sports"
71253,"Pont Neuf"
71273,"Centre Georges Pompidou"
425779,"Jardin d'Acclimatation"
71277,"Musée Picasso"
