PdEId;PdEVersion;PdECreated;PdEChanged;PdEName
415730;657747;2015-04-21;2015-04-21T12:35:27+02:00;Gare Montparnasse
474262;1462782;2019-04-11;2023-04-28T10:31:37+02:00;Paris Saint-Lazare - Opéra
415731;657750;2015-04-21;2015-04-21T12:36:37+02:00;Aéroport d'Orly
474259;1113514;2019-04-11;2019-04-11T16:27:25+02:00;Paris Est
474265;1113558;2019-04-11;2019-04-11T17:12:30+02:00;Tour Eiffel
474266;1113562;2019-04-11;2019-04-11T17:13:16+02:00;La Muette - Boulainvilliers
474263;1113556;2019-04-11;2019-04-11T17:10:39+02:00;Châtelet - Les Halles
474260;1113513;2019-04-11;2019-04-11T16:26:57+02:00;Paris Nord
415732;657753;2015-04-21;2015-04-21T12:37:57+02:00;Aéroport Roissy Charles de Gaulle
474264;1113557;2019-04-11;2019-04-11T17:10:52+02:00;Saint-Michel - La Sorbonne
