PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion;ArRGeopoint;ArTGeopoint
;;68743;68743;52736;52736-68743;11178;1219737-52736;50179353;1643643-1219737;48.922577855469655, 3.2370882830078465;48.92248009615529, 3.2365010523036966
;;68715;1427124;52630;1427125-1427124;10972;1427112-1427125;50179334;1643659-1427112;48.914808176289114, 3.1918498286761436;48.914808176289114, 3.1918498286761436
;;68623;68623;52585;52585-68623;10877;1411161-52585;50178972;1634202-1411161;48.89751922474625, 3.0589502070879075;48.89747426038169, 3.058950156174198
;;69244;1427087;47490;1323219-1427087;10729;1323218-1323219;50178187;1409892-1323218;49.02989080278841, 3.014973397710005;49.02995372799574, 3.0151101593816905
;;68716;68716;52541;52541-68716;10766;10766-52541;50178436;1409321-10766;48.91750836105209, 2.854546303188037;48.91743638635495, 2.8545192147394696
;;68745;1420603;52699;1420604-1420603;11112;1420610-1420604;50178704;1657382-1420610;48.924850076829344, 2.9142985212768475;48.924796111201125, 2.914284963437744
;;68895;68895;52500;52500-68895;11170;1418132-52500;50179783;1643355-1418132;48.949209910278704, 3.1432486295830255;48.949209910278704, 3.1432486295830255
;;69458;69458;57653;57653-69458;20211;1420545-57653;50178680;1657392-1420545;49.10623727723544, 3.123729610120214;49.10639938419473, 3.123469800900647
;;68803;68803;52641;52641-68803;11001;1420523-52641;50178673;1657398-1420523;48.939537070522434, 2.8075811961825385;48.939537070522434, 2.8075811961825385
;;68597;1225787;52604;1225786-1225787;10915;1420481-1225786;50178661;1657404-1420481;48.895269187188966, 2.8981577384815047;48.89525122461049, 2.898185051583131
;;68940;1232989;52646;52646-1232989;11010;1416791-52646;50179411;1643600-1416791;48.95414840261948, 3.0709347116215975;48.95414840261948, 3.0709347116215975
;;69285;1420432;52644;1420433-1420432;11006;1225142-1420433;50178643;1657413-1225142;49.041621446425985, 2.9672152094070174;49.04172029100054, 2.966982630278812
;;68984;1099759;47962;1099758-1099759;472185;1079248-1099758;50116645;1639413-1079248;48.960264783910496, 2.9499916356740954;48.960255791558126, 2.9499916443227017
;;68448;1226350;52755;1226349-1226350;11214;1226348-1226349;50179675;1643423-1226348;48.877290003132195, 2.86822474172189;48.8772810551205, 2.8682656672142572
;;69263;69263;52487;52487-69263;10652;1224933-52487;50178616;1657424-1224933;49.03508830369986, 2.9330847690335164;49.035313316867274, 2.9334810763138854
;;68300;1233014;52457;1232755-1233014;10591;1417693-1232755;50179663;1643433-1417693;48.86221244585632, 2.855995569875786;48.862212429454665, 2.855981939576611
;;68300;1233014;52457;1232755-1233014;479664;1417698-1232755;50179662;1643434-1417698;48.86220323936502, 2.855818400875469;48.86241004891837, 2.855790567741067
;;68905;1398634;48836;1398630-1398634;478127;1398631-1398630;50178607;1408890-1398631;48.95149370631668, 2.942217447168239;48.951466696119155, 2.942149208590729
;;69121;69121;52420;52420-69121;10526;1221285-52420;50179653;1406156-1221285;48.97305895402441, 3.134353779201398;48.985046312246524, 3.1336879786518637
;;68549;1417567;52439;1417568-1417567;10563;1417569-1417568;50178597;1657435-1417569;48.88782617165283, 2.8572066186625116;48.88782617165283, 2.8572066186625116
;;68549;1417567;52439;1417568-1417567;10564;1224827-1417568;50178596;1657436-1224827;48.887429928398696, 2.85674404911706;48.88733098970325, 2.856730684387526
;;73757;73757;52496;52496-73757;10675;10675-52496;50179628;1406226-10675;48.94868297762412, 3.1322701630232643;48.948691970062605, 3.132270185893393
;;68956;68956;52423;52423-68956;10531;1417461-52423;50179610;1643470-1417461;48.95700929267182, 3.0201277198313794;48.957054222333674, 3.020318909764859
;;68179;68179;52676;52676-68179;480490;1225285-52676;50179606;1406286-1225285;48.84644831318775, 2.912928571808906;48.84646635923202, 2.9130102989294553
;;68820;1012121;52703;1012120-1012121;11116;1417400-1012120;50179588;1643485-1417400;48.93967073289542, 3.1490921356594788;48.93966158750989, 3.1492149652043926
;;68820;1012121;52703;1012120-1012121;484549;1417397-1012120;50179593;1643482-1417397;48.939571679394284, 3.149201056682638;48.939607615452154, 3.149228461008478
;;68460;1225835;52656;1225834-1225835;11024;1417384-1225834;50179414;1643597-1417384;48.874989200227276, 3.3680284963031393;48.874971172387774, 3.3680420027285893
;;68897;828222;52747;828221-828222;11200;1225006-828221;50179555;1643509-1225006;48.949629840786464, 3.1212543989486625;48.94963897122882, 3.121117887733864
;;69195;69195;52651;52651-69195;11017;1224546-52651;50178536;1409080-1224546;49.00618796603239, 2.9321105572769453;49.00616996664254, 2.932083244606692
;;68767;68767;52544;52544-68767;10771;1420149-52544;50178533;1409088-1420149;48.929341290582876, 2.86091410155674;48.929341290582876, 2.86091410155674
;;420348;732306;420347;732304-732306;420346;1420117-732304;50178529;1635504-1420117;48.948437909499205, 2.857886690885613;48.94844693430317, 2.8579139721119073
;;69050;1200060;47467;1200059-1200060;18053;1419356-1200059;50178519;1696487-1419356;48.97299657405224, 2.903633128024598;48.973014580478136, 2.903660413411485
;;69050;1200060;47467;1200059-1200060;18055;1419349-1200059;50178343;1635612-1419349;48.97305943188865, 2.90352373633144;48.97305042866135, 2.903510093647535
;;417451;693410;417450;693408-693410;417449;1416909-693408;50179465;1643565-1416909;48.9971486581678, 3.1881087914345136;48.9971486581678, 3.1881087914345136
;;479648;1204154;479647;1204152-1204154;479646;1204151-1204152;50179441;1406722-1204151;48.87447246451229, 2.971914927310754;48.87447246451229, 2.971914927310754
;;69333;1420073;52552;1420074-1420073;10788;1420055-1420074;50178511;1409136-1420055;49.05717760638031, 3.0553828209942617;49.05717760638031, 3.0553828209942617
;;69333;1420073;52552;1420074-1420073;10787;1420059-1420074;50178510;1409138-1420059;49.057159591778316, 3.0554512093907746;49.057159591778316, 3.0554512093907746
;;68609;1416496;479636;1416495-1416496;479635;1416489-1416495;50178811;1680898-1416489;48.89753786273142, 3.2606526612617572;48.89753792209861, 3.260625382269804
;;68762;68762;52636;52636-68762;10988;1416787-52636;50179409;1406802-1416787;48.9275410240763, 3.068373659867704;48.92748710724553, 3.0683053518831622
;;69025;69025;48835;48835-69025;4951;1225385-48835;50178484;1657485-1225385;48.96857526298496, 2.9345771796038256;48.968674289654246, 2.9347819285541883
;;69144;69144;48813;48813-69144;4902;1398701-48813;50178470;1657490-1398701;48.99364203237903, 2.9457234254660114;48.993606051732634, 2.9456961334702703
;;68304;68304;52454;52454-68304;10585;10585-52454;50179362;1643636-10585;48.8627315208208, 2.8539086715619177;48.86282156868845, 2.854003832584744
;;68768;68768;52405;52405-68768;20220;1416281-52405;50179301;1407074-1416281;48.927204113092735, 3.288560147731566;48.927248648597086, 3.2887378115738017
;;69022;69022;52421;52421-69022;10527;1414997-52421;50179262;1643711-1414997;48.966689646437366, 3.144471357224637;48.966689646437366, 3.144471357224637
;;68676;68676;52485;52485-68676;10648;1419663-52485;50178403;1409399-1419663;48.90860482224336, 2.814926078208313;48.90852390848348, 2.8149400083988674
;;485292;1414134;479654;1204170-1414134;479653;1204169-1204170;50179243;1407230-1204169;48.85934998798174, 2.935613890024198;48.85934998798174, 2.935613890024198
;;68664;68664;52618;52618-68664;10950;1414922-52618;50179242;1407232-1414922;48.90482482537545, 3.1926860912245703;48.90482482537545, 3.1926860912245703
;;68664;68664;52618;52618-68664;10949;1225313-52618;50179241;1643726-1225313;48.904941885191384, 3.1925910336845833;48.90496877580634, 3.1926456994074615
;;69138;1414907;53295;1414908-1414907;12609;1414909-1414908;50179237;1407248-1414909;48.99026479986426, 3.1671233840849635;48.99026485695232, 3.1670823924525915
;;70205;70205;52225;52225-70205;24545;1425863-52225;50184084;1657154-1425863;48.793178424459356, 2.277722070667018;48.79313321095218, 2.2776818581106864
;;69954;69954;53088;53088-69954;12111;1376630-53088;50183902;1594786-1376630;48.77472594952773, 2.2694315954023856;48.77468123176412, 2.2694730455163445
;;69006;69006;48839;48839-69006;4958;1224735-48839;50178396;1657534-1224735;48.96588471417626, 2.9493306698194974;48.965902698786216, 2.949330652291763
;;69006;69006;48839;48839-69006;4957;1419633-48839;50178397;1657533-1419633;48.96607359291948, 2.9494260886085315;48.96607359291948, 2.9494260886085315
;;68738;1350320;52404;1350321-1350320;10499;1414067-1350321;50179171;1643770-1414067;48.92124414169214, 3.2682629825163056;48.92112754296048, 3.2681259230994706
;;69034;69034;57036;57036-69034;18062;18062-57036;50179163;1407445-18062;48.96895294265627, 3.13920553209636;48.969006896257554, 3.1392056765685026
