ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75005;Sanisette;En service;10 rue ortolan;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3507700001216016, 48.84326200012617], ""type"": ""Point""}";48.84326200012617, 2.3507700001216016;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;259b av daumesnil;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.404424000410672, 48.83652400037507], ""type"": ""Point""}";48.83652400037507, 2.404424000410672;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;WC;En service;5 rue marcel dubois;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-van-vollenhoven-2593;"{""coordinates"": [2.4067865540145665, 48.83470680271946], ""type"": ""Point""}";48.83470680271946, 2.4067865540145665;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;Sanisette;En service;2 av pierre de coubertin;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3443319997521512, 48.8189959997807], ""type"": ""Point""}";48.8189959997807, 2.3443319997521512;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;WC;En service;30 avenue ernest reyer;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-du-serment-de-koufra-1773;"{""coordinates"": [2.3236001578901857, 48.82225626602283], ""type"": ""Point""}";48.82225626602283, 2.3236001578901857;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;WC;En service;18 rue de chatillon;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-lionel-assouad-2735;"{""coordinates"": [2.322543506474705, 48.82795466191802], ""type"": ""Point""}";48.82795466191802, 2.322543506474705;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;7 z rue la quintinie;24/24h;Oui;Non;;"{""coordinates"": [2.3063419997303214, 48.83924300033341], ""type"": ""Point""}";48.83924300033341, 2.3063419997303214;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;1 rue de la bonne;08h00 - 19h30;Oui;Non;;"{""coordinates"": [2.3435250001843118, 48.887354999657674], ""type"": ""Point""}";48.887354999657674, 2.3435250001843118;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;WC;En service;7 rue botzaris;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-des-buttes-chaumont-1757;"{""coordinates"": [2.382729246215703, 48.879452251121414], ""type"": ""Point""}";48.879452251121414, 2.382729246215703;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;40b rue rene boulanger;24/24h;Oui;Non;;"{""coordinates"": [2.3607839994327855, 48.86836400009876], ""type"": ""Point""}";48.86836400009876, 2.3607839994327855;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;6 bd pasteur;24/24h;Oui;Non;;"{""coordinates"": [2.3110269993733965, 48.84474699955954], ""type"": ""Point""}";48.84474699955954, 2.3110269993733965;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;118 bd de montmorency;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2604170005449817, 48.84844600004027], ""type"": ""Point""}";48.84844600004027, 2.2604170005449817;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
