route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;ArRPostalRegion;stop_Geopoint;ArRXEpsg2154;ArRYEpsg2154;shortName;bookingRules;mode;Pointgeo;Nom_commune;Code_insee;Extensions;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns
IDFM:C01100;64;IDFM:27098;Avenue de Saint-Mandé;RATP;Paris 12e;75112;48.84443634358911, 2.405506279519586;656370;6860652;64;;Bus;48.84443634360278, 2.4055062795195865;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01100:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00897;3630;IDFM:31085;Jobert;Transdev Melun;Seine-Port;77447;48.55724522581788, 2.5559446250047158;667231;6828650;3630;;Bus;48.55724522583221, 2.5559446250047158;Seine-Port;77447;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00897:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
IDFM:C00897;3630;IDFM:31086;Chemin de la Justice;Transdev Melun;Seine-Port;77447;48.555475451916315, 2.566339500596266;667997;6828449;3630;;Bus;48.55547545193066, 2.5663395005962664;Seine-Port;77447;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00897:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
IDFM:C00897;3630;IDFM:427284;Paladilhe;Transdev Melun;Seine-Port;77447;48.56023841201919, 2.550525570194993;666833;6828985;3630;;Bus;48.56023841203353, 2.550525570194993;Seine-Port;77447;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00897:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
IDFM:C00898;2315;IDFM:4946;Zone Artisanale;Transdev Marne-et-Ourcq;Meaux;77284;48.9572165701177, 2.9321062190199965;695028;6873031;2315;;Bus;48.95721657013114, 2.9321062190199965;Meaux;77284;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00898:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
IDFM:C00900;2306;IDFM:11073;Bordes Rouges;Transdev Marne-et-Ourcq;Nanteuil-lès-Meaux;77330;48.93586197810325, 2.8876363040679145;691768;6870660;2306;;Bus;48.935861978116755, 2.8876363040679145;Nanteuil-lès-Meaux;77330;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00900:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C00900;2306;IDFM:6546;Mairie;Transdev Marne-et-Ourcq;Nanteuil-lès-Meaux;77330;48.928685635133725, 2.8973826469152617;692481;6869861;2306;;Bus;48.92868563514723, 2.8973826469152617;Nanteuil-lès-Meaux;77330;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00900:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";partial;unknown;unknown
IDFM:C00763;1203;IDFM:9051;Colucci Gandhi;Francilité Seine et Oise;Vauréal;95637;49.02893828904103, 2.017464299154497;628148;6881452;1203;;Bus;49.02893828905431, 2.017464299154497;Vauréal;95637;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00763:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00764;1206;IDFM:8702;Osny Gare SNCF;Francilité Seine et Oise;Osny;95476;49.06387114197408, 2.0564462327996975;631045;6885302;1206;;Bus;49.06387114198729, 2.056446232799698;Osny;95476;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00764:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00764;1206;IDFM:8709;Musaraigne;Francilité Seine et Oise;Cergy;95127;49.049137225493645, 2.02988681422787;629084;6883687;1206;;Bus;49.04913722550689, 2.0298868142278708;Cergy;95127;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00764:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;false;true
IDFM:C00767;1239;IDFM:9027;Bas Rucourt;Francilité Seine et Oise;Menucourt;95388;49.025064606845824, 1.9768022517695705;625169;6881059;1239;;Bus;49.025064606859125, 1.9768022517695711;Menucourt;95388;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00767:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";partial;false;true
IDFM:C00771;1224;IDFM:9067;Les Cascades;Francilité Seine et Oise;Osny;95476;49.05552338482488, 2.0356781037919873;629516;6884392;1224;;Bus;49.05552338483811, 2.035678103791988;Osny;95476;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00771:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00772;1201;IDFM:8672;Linandes Vertes;Francilité Seine et Oise;Cergy;95127;49.04255045475476, 2.0679408495778584;631857;6882921;1201;;Bus;49.042550454768026, 2.067940849577859;Cergy;95127;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00772:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00772;1201;IDFM:8675;La Justice;Francilité Seine et Oise;Cergy;95127;49.04452509326558, 2.054814437500773;630900;6883152;1201;;Bus;49.04452509327883, 2.0548144375007733;Cergy;95127;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00772:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00772;1201;IDFM:488437;La Sébille;Francilité Seine et Oise;Cergy;95127;49.04685776957057, 2.051858162790442;630687;6883414;1201;;Bus;49.0468577695838, 2.051858162790442;Cergy;95127;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00772:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00778;1208;IDFM:8761;Parc Urbain;Francilité Seine et Oise;Éragny;95218;49.01725671622324, 2.1060199351582733;634609;6880076;1208;;Bus;49.017256716236545, 2.106019935158274;Éragny;95218;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00778:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00778;1208;IDFM:8764;Les Dix Arpents;Francilité Seine et Oise;Éragny;95218;49.01990936042912, 2.1084216628285737;634788;6880369;1208;;Bus;49.01990936044242, 2.108421662828574;Éragny;95218;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00778:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00778;1208;IDFM:8768;Fernand Châtelain;Francilité Seine et Oise;Éragny;95218;49.0247738108394, 2.112002733283193;635056;6880907;1208;;Bus;49.02477381085269, 2.1120027332831937;Éragny;95218;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00778:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00887;3612;IDFM:31004;Pouillot Gatinais;Transdev Melun;Melun;77288;48.53293511625731, 2.6459938054601433;673864;6825914;3612;;Bus;48.532935116271716, 2.6459938054601433;Melun;77288;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00887:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C00903;2262;IDFM:11080;Corbie;Transdev Marne-la-Vallée;Coupvray;77132;48.905320960303875, 2.802728477413426;685539;6867276;2262;;Bus;48.90532096031744, 2.8027284774134262;Coupvray;77132;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C00903:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";false;unknown;unknown
IDFM:C01436;3303;IDFM:15907;Désiré Thoison;Francilité Pays de Montereau;Cannes-Écluse;77061;48.365248189864644, 2.979761162706449;698501;6807216;3303;;Bus;48.365248189879445, 2.979761162706449;Cannes-Écluse;77061;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01436:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";false;unknown;unknown
IDFM:C01436;3303;IDFM:15814;Église;Francilité Pays de Montereau;Cannes-Écluse;77061;48.364709191820296, 2.985269949841579;698909;6807156;3303;;Bus;48.364709191835104, 2.985269949841579;Cannes-Écluse;77061;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01436:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";false;unknown;unknown
IDFM:C01436;3303;IDFM:20156;Casanova;Francilité Pays de Montereau;Varennes-sur-Seine;77482;48.37285610655751, 2.9421509512697495;695716;6808063;3303;;Bus;48.3728561065723, 2.9421509512697495;Varennes-sur-Seine;77482;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01436:"", ""@version"": ""any"", ""ClimateControlList"": ""unknown""}}";false;unknown;unknown
IDFM:C01289;330;IDFM:23589;Convention;Origami / Paris Seine Mobilités;Pantin;93055;48.88340792114993, 2.4116067894197073;656850;6864982;330;;Bus;48.88340792116354, 2.4116067894197077;Pantin;93055;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01289:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01289;330;IDFM:28500;Hoche - Jean Lolive;Origami / Paris Seine Mobilités;Pantin;93055;48.89103399138317, 2.4006918384590246;656056;6865836;330;;Bus;48.89103399139676, 2.4006918384590246;Pantin;93055;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01289:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01294;341;IDFM:36744;Pereire - Maréchal Juin;RATP;Paris 17e;75117;48.88424784893237, 2.2971866752771737;648460;6865144;341;;Bus;48.88424784894597, 2.2971866752771737;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01294:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01295;346;IDFM:39914;Jouhaux - Blum;Transdev Ourcq;Bondy;93010;48.918188067007776, 2.478444038314976;661777;6868815;346;;Bus;48.91818806702131, 2.478444038314976;Bondy;93010;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01295:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";true;unknown;unknown
IDFM:C01299;351;IDFM:39914;Jouhaux - Blum;Transdev Express Roissy;Bondy;93010;48.918188067007776, 2.478444038314976;661777;6868815;351;;Bus;48.91818806702131, 2.478444038314976;Bondy;93010;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01299:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01298;350;IDFM:19151;22, avenue des Nations;Transdev Express Roissy;Villepinte;93078;48.97285726029263, 2.511115712169577;664209;6874879;350;;Bus;48.97285726030602, 2.511115712169577;Villepinte;93078;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01298:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01299;351;IDFM:36720;Porte de Montreuil;Transdev Express Roissy;Paris 20e;75120;48.853166869832855, 2.4105172999503375;656745;6861620;351;;Bus;48.853166869846525, 2.410517299950338;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01299:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";partial;unknown;unknown
IDFM:C01304;360;IDFM:29272;Église de Saint-Cloud;RATP Cap Défense Seine Ouest;Saint-Cloud;92064;48.84763122639613, 2.20866817407289;641928;6861134;360;;Bus;48.84763122640981, 2.20866817407289;Saint-Cloud;92064;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01304:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";partial;unknown;unknown
IDFM:C01304;360;IDFM:29250;Regnault;RATP Cap Défense Seine Ouest;Garches;92033;48.850257490216066, 2.191198214814905;640649;6861439;360;;Bus;48.85025749022976, 2.1911982148149054;Garches;92033;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01304:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
