ligne,station
A,Achères Grand Cormier
A,Achères Ville
A,Auber
A,Boissy-Saint-Léger
A,Bry-sur-Marne
A,Bussy-Saint-Georges
A,Cergy Préfecture
A,Cergy Saint-Christophe
A,Cergy le Haut
A,Champigny
A,Charles de Gaulle - Étoile
A,Chatou - Croissy
A,Châtelet - Les Halles
A,Conflans Fin d'Oise
A,Fontenay-sous-Bois
A,Gare de Lyon
A,Houilles - Carrières-sur-Seine
A,Joinville-le-Pont
A,La Défense
A,La Varenne - Chennevières
A,Le Parc de Saint-Maur
A,Le Vésinet - Centre
A,Le Vésinet - Le Pecq
A,Lognes
A,Maisons-Laffitte
A,Marne-la-Vallée - Chessy
A,Nanterre - Préfecture
A,Nanterre - Ville
A,Nanterre Université
A,Nation
A,Neuilly-Plaisance
A,Neuville - Université
A,Nogent-sur-Marne
A,Noisiel
A,Noisy - Champs
A,Noisy-le-Grand - Mont d'Est
A,Poissy
A,Rueil-Malmaison
A,Saint-Germain-en-Laye
A,Saint-Maur - Créteil
A,Sartrouville
A,Sucy - Bonneuil
A,Torcy
A,Val d'Europe
A,Val de Fontenay
A,Vincennes
B,Antony
B,Arcueil - Cachan
B,Aulnay-sous-Bois
B,Aéroport CDG 1 (Terminal 3) - RER
B,Aéroport Charles de Gaulle 2 (Terminal 2)
B,Bagneux
B,Bourg-la-Reine
B,Bures-sur-Yvette
B,Châtelet - Les Halles
B,Cité Universitaire
B,Courcelle-sur-Yvette
B,Denfert-Rochereau
B,Drancy
B,Fontaine Michalon
B,Fontenay-aux-Roses
B,Gare du Nord
B,Gentilly
B,Gif-sur-Yvette
B,La Courneuve - Aubervilliers
B,La Croix de Berny
B,La Hacquinière
B,La Plaine Stade de France
B,Laplace
B,Le Blanc-Mesnil
B,Le Bourget
B,Le Guichet
B,Les Baconnets
B,Lozère
B,Luxembourg
B,Massy - Palaiseau
B,Massy - Verrières
B,Mitry - Claye
B,Orsay - Ville
B,Palaiseau
B,Palaiseau - Villebon
B,Parc de Sceaux
B,Parc des Expositions
B,Port Royal
B,Robinson
B,Saint-Michel Notre-Dame
B,Saint-Rémy-lès-Chevreuse
B,Sceaux
B,Sevran - Beaudottes
B,Sevran - Livry
B,Vert-Galant
B,Villeparisis - Mitry-le-Neuf
B,Villepinte
C,Ablon
C,Arpajon
C,Athis-Mons
C,Avenue Foch
C,Avenue Henri Martin
C,Avenue du Président Kennedy Maison de Radio France
C,Bibliothèque François Mitterrand
C,Boulainvilliers
C,Bouray
C,Breuillet - Bruyères-le-Châtel
C,Breuillet Village
C,Brétigny
C,Cernay
C,Champ de Mars Tour Eiffel
C,Chaville - Vélizy
C,Chemin d'Antony
C,Choisy-le-Roi
C,Dourdan
C,Dourdan la Forêt
C,Ermont - Eaubonne
C,Franconville - Le Plessis-Bouchard
C,Gare d'Austerlitz
C,Gare de Chamarande
C,Gennevilliers
C,Invalides
C,Issy
C,Issy - Val de Seine
C,Ivry-sur-Seine
C,Javel
C,Juvisy
C,La Norville - Saint-Germain-lès-Arpajon
C,Lardy
C,Les Ardoines
C,Les Grésillons
C,Les Saules
C,Marolles-en-Hurepoix
C,Massy - Palaiseau
C,Massy - Verrières
C,Meudon Val Fleury
C,Montigny - Beauchamp
C,Musée d'Orsay
C,Neuilly - Porte Maillot
C,Orly Ville
C,Pierrelaye
C,Pont de Rungis Aéroport d'Orly
C,Pont de l'Alma
C,Pont du Garigliano - Hôpital Européen G. Pompidou
C,Pontoise
C,Porchefontaine
C,Porte de Clichy
C,Péreire Levallois
C,Rungis la Fraternelle
C,Saint-Chéron
C,Saint-Cyr
C,Saint-Gratien
C,Saint-Martin d'Étampes
C,Saint-Michel Notre-Dame
C,Saint-Michel-sur-Orge
C,Saint-Ouen
C,Saint-Ouen-l'Aumône
C,Saint-Ouen-l'Aumône Liesse
C,Saint-Quentin en Yvelines - Montigny-le-Bretonneux
C,Sainte-Geneviève-des-Bois
C,Savigny-sur-Orge
C,Sermaise
C,Versailles Chantiers
C,Versailles Château Rive Gauche
C,Villeneuve-le-Roi
C,Viroflay Rive Gauche
C,Vitry-sur-Seine
C,Égly
C,Épinay-sur-Orge
C,Épinay-sur-Seine
C,Étampes
C,Étréchy
D,Ballancourt
D,Boigneville
