ligne,station
V,Bièvres
V,Igny
V,Jouy-en-Josas
V,"Massy - Palaiseau"
V,"Petit Jouy Les Loges"
V,Vauboyen
V,"Versailles Chantiers"
P,"Champbenoist Poigny"
P,"Changis - Saint-Jean"
P,"Chelles - Gournay"
P,Château-Thierry
P,Chézy-sur-Marne
P,Coulommiers
P,Crouy-sur-Ourcq
P,Esbly
P,"Faremoutiers - Pommeuse"
P,"Gare de l'Est"
P,"Guérard - La Celle-sur-Morin"
P,"Isles - Armentières - Congis"
P,"La Ferté-Milon"
P,"La Ferté-sous-Jouarre"
P,"Lagny - Thorigny"
P,Lizy-sur-Ourcq
P,Longueville
P,Mareuil-sur-Ourcq
P,Marles-en-Brie
P,Meaux
P,Mormant
P,Mortcerf
P,Mouroux
P,Nangis
P,"Nanteuil - Saâcy"
P,"Nogent-L'Artaud - Charly"
P,Provins
P,"Sainte-Colombe Septveilles"
P,Tournan
P,Trilport
P,"Vaires - Torcy"
P,Verneuil-l'Étang
R,Bagneaux-sur-Loing
R,Bois-le-Roi
R,"Bourron-Marlotte - Grez"
R,Champagne-sur-Seine
R,Chartrettes
R,Dordives
R,"Ferrières - Fontenay"
R,Fontaine-le-Port
R,"Fontainebleau - Avon"
R,"Gare de Lyon"
R,Héricy
R,"La Grande-Paroisse"
R,Livry-sur-Seine
R,Melun
R,Montargis
R,Montereau
R,Montigny-sur-Loing
R,"Moret - Veneux-les-Sablons"
R,"Nemours - Saint-Pierre"
R,Saint-Mammès
R,"Souppes - Château-Landon"
R,Thomery
R,Vernou-sur-Seine
R,"Vulaines-sur-Seine - Samoreau"
