stop_id_a,nom_a,stop_id_b,nom_b,distance_metres,nb_observations
IDFM:21902,République,IDFM:463250,Parmentier,725,991
IDFM:21903,République,IDFM:21905,Oberkampf,589,1331
IDFM:21904,Michel-Ange - Molitor,IDFM:21985,Chardon Lagache,361,467
IDFM:21905,Oberkampf,IDFM:22002,Richard-Lenoir,502,1331
IDFM:21906,Havre-Caumartin,IDFM:22030,Opéra,352,991
IDFM:21907,Michel-Ange - Auteuil,IDFM:21974,Porte d'Auteuil,438,466
IDFM:21908,Rue de la Pompe,IDFM:21917,Trocadéro,697,1396
IDFM:21909,Grands Boulevards,IDFM:463133,Bonne Nouvelle,349,1397
IDFM:21910,Saint-Ambroise,IDFM:463325,Voltaire,488,1397
IDFM:21911,Saint-Augustin,IDFM:21926,Havre-Caumartin,457,1396
IDFM:21912,Saint-Philippe-du-Roule,IDFM:21931,Franklin D. Roosevelt,410,1338
IDFM:21913,Porte de Montreuil,IDFM:21936,Maraîchers,344,1337
IDFM:21914,Porte de Saint-Cloud,IDFM:21930,Exelmans,637,1396
IDFM:21915,Ranelagh,IDFM:463203,La Muette,418,1396
IDFM:21916,Voltaire,IDFM:463299,Saint-Ambroise,571,1338
IDFM:21917,Trocadéro,IDFM:21927,Iéna,507,1396
IDFM:21918,République,IDFM:21925,Oberkampf,511,1397
IDFM:21919,Nation,IDFM:463039,Buzenval,480,1397
IDFM:21920,Strasbourg - Saint-Denis,IDFM:21918,République,691,1397
IDFM:21921,Richelieu - Drouot,IDFM:21909,Grands Boulevards,360,1397
IDFM:21922,Michel-Ange - Auteuil,IDFM:21928,Jasmin,641,1396
IDFM:21923,Michel-Ange - Molitor,IDFM:462956,Exelmans,221,1338
IDFM:21924,Miromesnil,IDFM:21912,Saint-Philippe-du-Roule,385,1338
IDFM:21925,Oberkampf,IDFM:21910,Saint-Ambroise,643,1397
IDFM:21926,Havre-Caumartin,IDFM:463144,Chaussée d'Antin - La Fayette,481,1397
IDFM:21927,Iéna,IDFM:463052,Alma - Marceau,544,1396
IDFM:21928,Jasmin,IDFM:21915,Ranelagh,355,1396
IDFM:21929,La Muette,IDFM:463290,Ranelagh,418,1338
IDFM:21930,Exelmans,IDFM:463239,Michel-Ange - Molitor,221,1396
IDFM:21931,Franklin D. Roosevelt,IDFM:21935,Alma - Marceau,811,1338
IDFM:21932,Chaussée d'Antin - La Fayette,IDFM:463188,Havre-Caumartin,481,1338
IDFM:21933,Bonne Nouvelle,IDFM:463049,Grands Boulevards,407,1338
IDFM:21934,Charonne,IDFM:21916,Voltaire,472,1338
IDFM:21935,Alma - Marceau,IDFM:463190,Iéna,544,1338
IDFM:21936,Maraîchers,IDFM:25084,Buzenval,391,1337
IDFM:21937,République,IDFM:463108,Arts et Métiers,756,739
IDFM:21938,Pont de Sèvres,IDFM:21939,Billancourt,606,1330
IDFM:21939,Billancourt,IDFM:462914,Marcel Sembat,449,1330
IDFM:21940,Marcel Sembat,IDFM:463035,Billancourt,449,1353
IDFM:21942,Robespierre,IDFM:21943,Croix de Chavaux,913,1404
IDFM:21943,Croix de Chavaux,IDFM:21941,Mairie de Montreuil,687,1404
IDFM:21945,Gambetta,IDFM:21948,Pelleport,407,563
