stop_id_a,nom_a,stop_id_b,nom_b,duree_moyenne_secondes,nb_observations
IDFM:22101,"La Défense",IDFM:463170,"Esplanade de la Défense",73,1526
IDFM:463170,"Esplanade de la Défense",IDFM:463044,"Pont de Neuilly",72,1526
IDFM:463044,"Pont de Neuilly",IDFM:22100,"Les Sablons",76,1526
IDFM:22100,"Les Sablons",IDFM:463257,"Porte Maillot",84,1526
IDFM:463257,"Porte Maillot",IDFM:463121,Argentine,74,1526
IDFM:463121,Argentine,IDFM:22086,"Charles de Gaulle - Étoile",52,1526
IDFM:22086,"Charles de Gaulle - Étoile",IDFM:22084,"George V",61,1528
IDFM:22084,"George V",IDFM:22082,"Franklin D. Roosevelt",56,1528
IDFM:22082,"Franklin D. Roosevelt",IDFM:22090,"Champs-Élysées - Clemenceau",57,1528
IDFM:22090,"Champs-Élysées - Clemenceau",IDFM:22085,Concorde,73,1528
IDFM:22085,Concorde,IDFM:463041,Tuileries,48,1528
IDFM:463041,Tuileries,IDFM:22079,"Palais Royal - Musée du Louvre",55,1528
IDFM:22079,"Palais Royal - Musée du Louvre",IDFM:22081,"Louvre - Rivoli",45,1528
IDFM:22081,"Louvre - Rivoli",IDFM:22087,Châtelet,51,1528
IDFM:22087,Châtelet,IDFM:463080,"Hôtel de Ville",54,1528
IDFM:463080,"Hôtel de Ville",IDFM:22074,"Saint-Paul (Le Marais)",62,1528
IDFM:22074,"Saint-Paul (Le Marais)",IDFM:463019,Bastille,97,1528
IDFM:463019,Bastille,IDFM:22083,"Gare de Lyon",100,1528
IDFM:22083,"Gare de Lyon",IDFM:22076,"Reuilly - Diderot",79,1528
IDFM:22076,"Reuilly - Diderot",IDFM:22080,Nation,76,1528
IDFM:22080,Nation,IDFM:22077,"Porte de Vincennes",83,1528
IDFM:22077,"Porte de Vincennes",IDFM:22103,Saint-Mandé,77,1528
IDFM:22103,Saint-Mandé,IDFM:22105,Bérault,67,1528
IDFM:22105,Bérault,IDFM:22104,"Château de Vincennes",68,1528
IDFM:463262,"Porte des Lilas",IDFM:463071,Saint-Fargeau,61,567
IDFM:463071,Saint-Fargeau,IDFM:462990,Pelleport,58,567
IDFM:462990,Pelleport,IDFM:462997,Gambetta,64,567
IDFM:21945,Gambetta,IDFM:21948,Pelleport,53,563
IDFM:21948,Pelleport,IDFM:21946,Saint-Fargeau,57,563
IDFM:21946,Saint-Fargeau,IDFM:21947,"Porte des Lilas",63,563
IDFM:463149,"Château de Vincennes",IDFM:463130,Bérault,75,1583
IDFM:463130,Bérault,IDFM:463040,Saint-Mandé,67,1583
IDFM:463040,Saint-Mandé,IDFM:463012,"Porte de Vincennes",80,1583
IDFM:463012,"Porte de Vincennes",IDFM:462943,Nation,78,1583
IDFM:462943,Nation,IDFM:463294,"Reuilly - Diderot",84,1583
IDFM:463294,"Reuilly - Diderot",IDFM:463197,"Gare de Lyon",72,1583
IDFM:463197,"Gare de Lyon",IDFM:22089,Bastille,112,1585
IDFM:22089,Bastille,IDFM:463307,"Saint-Paul (Le Marais)",101,1585
IDFM:463307,"Saint-Paul (Le Marais)",IDFM:22091,"Hôtel de Ville",60,1585
IDFM:22091,"Hôtel de Ville",IDFM:463160,Châtelet,54,1587
IDFM:463160,Châtelet,IDFM:463218,"Louvre - Rivoli",50,1587
IDFM:463218,"Louvre - Rivoli",IDFM:463227,"Palais Royal - Musée du Louvre",43,1587
IDFM:463227,"Palais Royal - Musée du Louvre",IDFM:22075,Tuileries,53,1587
IDFM:22075,Tuileries,IDFM:463150,Concorde,47,1587
IDFM:463150,Concorde,IDFM:463010,"Champs-Élysées - Clemenceau",76,1587
IDFM:463010,"Champs-Élysées - Clemenceau",IDFM:463181,"Franklin D. Roosevelt",57,1587
IDFM:463181,"Franklin D. Roosevelt",IDFM:463185,"George V",57,1587
IDFM:463185,"George V",IDFM:463013,"Charles de Gaulle - Étoile",61,1587
IDFM:463013,"Charles de Gaulle - Étoile",IDFM:22088,Argentine,59,1587
IDFM:22088,Argentine,IDFM:22078,"Porte Maillot",66,1587
IDFM:22078,"Porte Maillot",IDFM:463217,"Les Sablons",83,1622
IDFM:463217,"Les Sablons",IDFM:22099,"Pont de Neuilly",74,1632
IDFM:22099,"Pont de Neuilly",IDFM:22102,"Esplanade de la Défense",75,1632
IDFM:22102,"Esplanade de la Défense",IDFM:463193,"La Défense",78,1632
IDFM:22072,Nation,IDFM:22124,Avron,91,797
IDFM:22124,Avron,IDFM:463117,"Alexandre Dumas",57,797
IDFM:463117,"Alexandre Dumas",IDFM:22113,"Philippe Auguste",52,797
IDFM:22113,"Philippe Auguste",IDFM:22112,"Père Lachaise",65,797
IDFM:22112,"Père Lachaise",IDFM:22116,Ménilmontant,63,797
IDFM:22116,Ménilmontant,IDFM:22126,Couronnes,58,797
IDFM:22126,Couronnes,IDFM:22128,Belleville,57,797
IDFM:22128,Belleville,IDFM:22120,"Colonel Fabien",66,799
IDFM:22120,"Colonel Fabien",IDFM:22118,Jaurès,64,799
IDFM:22118,Jaurès,IDFM:463009,Stalingrad,71,800
IDFM:463009,Stalingrad,IDFM:462982,"La Chapelle",56,800
IDFM:462982,"La Chapelle",IDFM:463094,"Barbès - Rochechouart",82,800
IDFM:463094,"Barbès - Rochechouart",IDFM:22123,Anvers,54,800
IDFM:22123,Anvers,IDFM:22114,Pigalle,61,800
IDFM:22114,Pigalle,IDFM:463113,Blanche,55,800
IDFM:463113,Blanche,IDFM:463252,"Place de Clichy",58,800
IDFM:463252,"Place de Clichy",IDFM:463296,Rome,65,800
IDFM:463296,Rome,IDFM:22106,Villiers,70,800
IDFM:22106,Villiers,IDFM:22117,Monceau,62,800
IDFM:22117,Monceau,IDFM:463154,Courcelles,49,800
IDFM:463154,Courcelles,IDFM:463266,Ternes,58,800
IDFM:463266,Ternes,IDFM:22094,"Charles de Gaulle - Étoile",58,800
IDFM:22094,"Charles de Gaulle - Étoile",IDFM:463322,"Victor Hugo",94,800
IDFM:463322,"Victor Hugo",IDFM:463256,"Porte Dauphine",93,800
IDFM:22111,"Porte Dauphine",IDFM:22109,"Victor Hugo",83,810
IDFM:22109,"Victor Hugo",IDFM:463043,"Charles de Gaulle - Étoile",87,813
IDFM:463043,"Charles de Gaulle - Étoile",IDFM:22108,Ternes,56,816
IDFM:22108,Ternes,IDFM:22121,Courcelles,55,816
IDFM:22121,Courcelles,IDFM:463240,Monceau,49,816
IDFM:463240,Monceau,IDFM:462988,Villiers,62,816
IDFM:462988,Villiers,IDFM:22110,Rome,66,816
IDFM:22110,Rome,IDFM:22115,"Place de Clichy",65,816
IDFM:22115,"Place de Clichy",IDFM:22125,Blanche,57,820
IDFM:22125,Blanche,IDFM:463088,Pigalle,55,820
IDFM:463088,Pigalle,IDFM:463120,Anvers,66,820
IDFM:463120,Anvers,IDFM:22127,"Barbès - Rochechouart",63,820
IDFM:22127,"Barbès - Rochechouart",IDFM:22119,"La Chapelle",78,820
IDFM:22119,"La Chapelle",IDFM:22107,Stalingrad,55,820
IDFM:22107,Stalingrad,IDFM:462981,Jaurès,69,820
IDFM:462981,Jaurès,IDFM:462984,"Colonel Fabien",63,820
IDFM:462984,"Colonel Fabien",IDFM:463111,Belleville,69,820
IDFM:463111,Belleville,IDFM:462983,Couronnes,59,820
IDFM:462983,Couronnes,IDFM:463243,Ménilmontant,61,820
IDFM:463243,Ménilmontant,IDFM:463285,"Père Lachaise",65,820
IDFM:463285,"Père Lachaise",IDFM:463230,"Philippe Auguste",67,820
IDFM:463230,"Philippe Auguste",IDFM:22122,"Alexandre Dumas",53,820
IDFM:22122,"Alexandre Dumas",IDFM:463125,Avron,61,820
IDFM:463125,Avron,IDFM:463067,Nation,110,820
IDFM:24679,"Front Populaire",IDFM:463281,"Porte de la Chapelle",138,1003
IDFM:463281,"Porte de la Chapelle",IDFM:463236,"Marx Dormoy",81,1003
IDFM:463236,"Marx Dormoy",IDFM:462973,"Marcadet - Poissonniers",83,1003
IDFM:462973,"Marcadet - Poissonniers",IDFM:22054,"Jules Joffrin",59,1003
IDFM:22054,"Jules Joffrin",IDFM:22055,"Lamarck - Caulaincourt",80,1003
IDFM:22055,"Lamarck - Caulaincourt",IDFM:463116,Abbesses,61,1003
IDFM:463116,Abbesses,IDFM:463089,Pigalle,48,1003
IDFM:463089,Pigalle,IDFM:463304,Saint-Georges,64,1003
IDFM:463304,Saint-Georges,IDFM:22050,Notre-Dame-de-Lorette,67,1003
IDFM:22050,Notre-Dame-de-Lorette,IDFM:463317,"Trinité - d'Estienne d'Orves",53,1003
IDFM:463317,"Trinité - d'Estienne d'Orves",IDFM:21964,Saint-Lazare,62,1003
IDFM:21964,Saint-Lazare,IDFM:21965,Madeleine,93,1003
IDFM:21965,Madeleine,IDFM:463164,Concorde,72,1003
IDFM:463164,Concorde,IDFM:22060,"Assemblée Nationale",80,1003
IDFM:22060,"Assemblée Nationale",IDFM:463311,Solférino,46,1003
IDFM:463311,Solférino,IDFM:462950,"Rue du Bac",55,1003
IDFM:462950,"Rue du Bac",IDFM:21980,"Sèvres - Babylone",54,1003
IDFM:21980,"Sèvres - Babylone",IDFM:22049,Rennes,50,1003
IDFM:22049,Rennes,IDFM:22051,Notre-Dame-des-Champs,52,1003
IDFM:22051,Notre-Dame-des-Champs,IDFM:22038,"Montparnasse Bienvenue",70,1003
IDFM:22038,"Montparnasse Bienvenue",IDFM:463173,Falguière,58,1003
IDFM:463173,Falguière,IDFM:22039,Pasteur,62,1003
IDFM:22039,Pasteur,IDFM:462964,Volontaires,47,1003
IDFM:462964,Volontaires,IDFM:463321,Vaugirard,56,1003
IDFM:463321,Vaugirard,IDFM:462949,Convention,57,1003
IDFM:462949,Convention,IDFM:463261,"Porte de Versailles",91,1003
IDFM:463261,"Porte de Versailles",IDFM:463153,"Corentin Celton",85,1025
IDFM:463153,"Corentin Celton",IDFM:463219,"Mairie d'Issy",80,1025
IDFM:483904,"Mairie d'Aubervilliers",IDFM:483903,"Aimé Césaire",79,1002
IDFM:483903,"Aimé Césaire",IDFM:24679,"Front Populaire",105,1002
IDFM:22062,"Mairie d'Issy",IDFM:22061,"Corentin Celton",70,950
IDFM:22061,"Corentin Celton",IDFM:22042,"Porte de Versailles",94,950
IDFM:22042,"Porte de Versailles",IDFM:22058,Convention,88,951
IDFM:22058,Convention,IDFM:22047,Vaugirard,55,951
IDFM:22047,Vaugirard,IDFM:22048,Volontaires,60,951
IDFM:22048,Volontaires,IDFM:462947,Pasteur,49,951
IDFM:462947,Pasteur,IDFM:22056,Falguière,61,951
IDFM:22056,Falguière,IDFM:462980,"Montparnasse Bienvenue",56,951
IDFM:462980,"Montparnasse Bienvenue",IDFM:462965,Notre-Dame-des-Champs,66,951
IDFM:462965,Notre-Dame-des-Champs,IDFM:462968,Rennes,56,951
IDFM:462968,Rennes,IDFM:462966,"Sèvres - Babylone",49,951
IDFM:462966,"Sèvres - Babylone",IDFM:22043,"Rue du Bac",52,951
IDFM:22043,"Rue du Bac",IDFM:22045,Solférino,50,951
IDFM:22045,Solférino,IDFM:463123,"Assemblée Nationale",45,951
IDFM:463123,"Assemblée Nationale",IDFM:22057,Concorde,74,951
IDFM:22057,Concorde,IDFM:463081,Madeleine,72,951
IDFM:463081,Madeleine,IDFM:462969,Saint-Lazare,86,951
IDFM:462969,Saint-Lazare,IDFM:22046,"Trinité - d'Estienne d'Orves",53,951
IDFM:22046,"Trinité - d'Estienne d'Orves",IDFM:463062,Notre-Dame-de-Lorette,49,951
IDFM:463062,Notre-Dame-de-Lorette,IDFM:22044,Saint-Georges,72,951
IDFM:22044,Saint-Georges,IDFM:22040,Pigalle,67,951
IDFM:22040,Pigalle,IDFM:22059,Abbesses,45,951
IDFM:22059,Abbesses,IDFM:463205,"Lamarck - Caulaincourt",63,951
IDFM:463205,"Lamarck - Caulaincourt",IDFM:463065,"Jules Joffrin",77,951
IDFM:463065,"Jules Joffrin",IDFM:22052,"Marcadet - Poissonniers",58,951
IDFM:22052,"Marcadet - Poissonniers",IDFM:22053,"Marx Dormoy",82,951
IDFM:22053,"Marx Dormoy",IDFM:22041,"Porte de la Chapelle",84,951
IDFM:22041,"Porte de la Chapelle",IDFM:463082,"Front Populaire",129,951
IDFM:463082,"Front Populaire",IDFM:483900,"Aimé Césaire",97,951
IDFM:483900,"Aimé Césaire",IDFM:483898,"Mairie d'Aubervilliers",76,951
IDFM:463079,Châtelet,IDFM:21990,"Hôtel de Ville",51,741
IDFM:21990,"Hôtel de Ville",IDFM:462945,Rambuteau,47,741
IDFM:462945,Rambuteau,IDFM:21997,"Arts et Métiers",63,741
IDFM:21997,"Arts et Métiers",IDFM:462960,République,74,741
IDFM:462960,République,IDFM:463187,Goncourt,48,741
IDFM:463187,Goncourt,IDFM:21998,Belleville,51,741
IDFM:21998,Belleville,IDFM:21991,Pyrénées,69,741
IDFM:21991,Pyrénées,IDFM:463192,Jourdain,45,741
IDFM:463192,Jourdain,IDFM:463254,"Place des Fêtes",41,741
IDFM:463254,"Place des Fêtes",IDFM:463319,Télégraphe,58,741
IDFM:463319,Télégraphe,IDFM:21949,"Porte des Lilas",67,741
IDFM:21949,"Porte des Lilas",IDFM:463223,"Mairie des Lilas",76,741
