route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
20,71311,73665,République,Jean-Pierre Timbaud - Richard Lenoir / Ferry - Lenoir,60,354
20,424721,71358,Malesherbes - Courcelles,Lisbonne - Mairie du 8e,120,726
20,71313,71337,Quatre Septembre,Opéra,120,354
20,73634,73635,Sentier,Bourse,60,156
20,493489,71452,Place du Général Catroux,Jouffroy d'Abbans - Malesherbes,120,726
20,71370,73690,Gare Saint-Lazare,Saint-Augustin,120,726
20,71505,71533,Marguerite Long,Alsace,180,354
20,463759,71889,Haxo,Porte des Lilas,120,726
20,73634,73636,Sentier,Réaumur - Sébastopol,60,354
20,71494,71514,Reims-Pitet / Curnonsky,Reims - Hôtel des Impôts,180,372
20,71320,73633,Bonne Nouvelle,Strasbourg - Saint-Denis,180,372
20,71358,73690,Lisbonne - Mairie du 8e,Saint-Augustin,180,726
20,412724,71801,Saint-Maur - Jean Aicard,Parmentier,120,354
20,71326,71330,Grands Boulevards,Richelieu - Drouot,120,372
20,463630,71853,Julien Lacroix,Belleville,120,726
20,71801,73665,Parmentier,Jean-Pierre Timbaud - Richard Lenoir / Ferry - Lenoir,180,354
20,462072,482795,Lancry - Saint-Martin,Porte Saint-Martin,60,43
20,485818,71533,Louison Bobet,Alsace,120,354
20,463759,71870,Haxo,Télégraphe,120,721
20,71864,71868,Pyrénées,Jourdain,60,726
20,71320,71326,Bonne Nouvelle,Grands Boulevards,60,362
20,71815,71834,Ménilmontant,Couronnes,60,354
20,71311,71832,République,Jules Ferry,240,372
20,482368,71370,Havre - Caumartin,Gare Saint-Lazare,180,726
20,420241,71337,Choiseul,Opéra,60,372
20,412724,71815,Saint-Maur - Jean Aicard,Ménilmontant,120,354
20,462072,71311,Lancry - Saint-Martin,République,60,372
20,463767,71853,Faubourg du Temple - Piver,Belleville,120,372
20,463593,71834,Ramponeau,Couronnes,120,354
20,71505,71514,Marguerite Long,Reims - Hôtel des Impôts,120,372
20,71293,73841,Arts et Métiers,Square du Temple,60,80
20,463630,71864,Julien Lacroix,Pyrénées,120,726
20,71832,71840,Jules Ferry,Goncourt,60,372
20,71452,71461,Jouffroy d'Abbans - Malesherbes,Wagram - Pereire,60,726
20,71296,71311,Temple,République,120,354
20,71870,73676,Télégraphe,Pixérécourt,120,647
20,71313,73635,Quatre Septembre,Bourse,60,329
20,420241,71330,Choiseul,Richelieu - Drouot,60,305
20,485818,71494,Louison Bobet,Reims-Pitet / Curnonsky,180,372
20,463767,71840,Faubourg du Temple - Piver,Goncourt,60,372
20,478926,71337,Auber,Opéra,180,675
20,463764,71868,Rue / Place des Fêtes,Jourdain,60,726
20,71478,71505,Juliette Lamber,Marguerite Long,240,726
20,71296,73841,Temple,Square du Temple,60,281
20,482795,73633,Porte Saint-Martin,Strasbourg - Saint-Denis,120,372
20,463764,73676,Rue / Place des Fêtes,Pixérécourt,60,721
20,482796,73636,Réaumur - Arts et Métiers,Réaumur - Sébastopol,330,354
20,478926,482368,Auber,Havre - Caumartin,60,726
20,424721,493489,Malesherbes - Courcelles,Place du Général Catroux,60,714
20,482796,71293,Réaumur - Arts et Métiers,Arts et Métiers,60,281
20,463593,71853,Ramponeau,Belleville,60,354
20,71461,71478,Wagram - Pereire,Juliette Lamber,180,726
21,71382,71435,Liège,Place de Clichy,120,503
21,71394,71435,Bucarest,Place de Clichy,60,497
21,71355,71382,Trinité - d'Estienne d'Orves,Liège,120,503
21,71297,73788,Palais Royal - Musée du Louvre,Pyramides,120,1000
21,70625,70668,Amiral Mouchez - Charbonnel,La Sibelle / Parc Montsouris,60,501
21,480747,73620,Les Ecoles,Saint-Michel Notre-Dame,120,1000
21,70623,70668,Cité Universitaire,La Sibelle / Parc Montsouris,60,497
21,480747,71161,Les Ecoles,Luxembourg,120,1000
21,71253,71264,Pont Neuf,Châtelet,60,970
21,70605,70623,Stade Charléty - Porte de Gentilly,Cité Universitaire,120,497
21,71297,73630,Palais Royal - Musée du Louvre,Louvre - Rivoli,120,914
21,72078,74003,Porte de Saint-Ouen,Navier / Lantiez,60,1000
21,71474,71504,La Fourche,Davy,60,994
21,71370,73617,Gare Saint-Lazare,Europe,120,497
21,482792,71337,Petits Champs - Danielle Casanova,Opéra,120,503
21,71223,71264,Cité,Châtelet,120,1000
21,71528,74003,Guy Môquet,Navier / Lantiez,60,900
21,420240,71337,Haussmann - Mogador,Opéra,60,405
21,71130,71161,Saint-Jacques - Gay-Lussac,Luxembourg,60,1000
21,71057,71079,Glacière - Arago,Port Royal - Berthollet,120,995
21,71223,73620,Cité,Saint-Michel Notre-Dame,120,1000
21,70988,71005,Glacière - Tolbiac,Daviel,60,1000
21,482368,71370,Havre - Caumartin,Gare Saint-Lazare,120,497
21,71079,71098,Port Royal - Berthollet,Berthollet - Vauquelin,60,1000
21,70668,70988,La Sibelle / Parc Montsouris,Glacière - Tolbiac,60,996
21,71253,73630,Pont Neuf,Louvre - Rivoli,60,1000
