code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C00007,412570,415240,"Docteur Roux","Jules Guesde",120,110
C00007,415225,415229,"Rue Tortue","Rue des Fusillés",60,110
C00007,415225,415244,"Rue Tortue","Eugène Hénaff",60,110
C00007,415229,415236,"Rue des Fusillés",Passerelle,120,110
C00007,415236,415240,Passerelle,"Jules Guesde",120,110
C00007,69725,69732,"Institut Grignon","Stade Alain Mimoun",60,54
C00007,69725,69754,"Institut Grignon","Ferme de Grignon / Marmontel",60,50
C00007,69732,69770,"Stade Alain Mimoun","Pavé Grignon",60,54
C00007,69751,69754,"E. Levassor","Ferme de Grignon / Marmontel",60,110
C00007,69754,69770,"Ferme de Grignon / Marmontel","Pavé Grignon",120,56
C00007,69770,426139,"Pavé Grignon","Cité des Vergers",60,110
C00007,69791,426139,"Guy Môquet","Cité des Vergers",60,110
C00007,69791,69819,"Guy Môquet","Général Leclerc",120,110
C00007,69819,69846,"Général Leclerc","Rouget de Lisle",120,54
C00007,69819,69852,"Général Leclerc",Choisy-le-Roi,120,56
C00007,69846,69852,"Rouget de Lisle",Choisy-le-Roi,180,54
C00007,69852,69878,Choisy-le-Roi,"8 mai 1945",180,110
C00007,69878,412570,"8 mai 1945","Docteur Roux",120,110
C00007,70235,415244,"Charles Heller","Eugène Hénaff",120,110
C00007,70235,70242,"Charles Heller","Pont de Vitry",60,110
C00007,70242,495693,"Pont de Vitry","Centre Commercial Pont de Vitry",60,110
C01200,420144,420177,"Vélizy 2","De Lattre de Tassigny",120,1544
C01200,69460,69463,"Maison de Quartier - André Charré / Rond Point du Petit Clamart - RD 906","Avenue de la Sygrie",120,1477
C01200,69460,69959,"Maison de Quartier - André Charré / Rond Point du Petit Clamart - RD 906","La Boursidière",120,1445
C01200,69463,420177,"Avenue de la Sygrie","De Lattre de Tassigny",120,625
C01200,69463,69466,"Avenue de la Sygrie",Meudon-la-Forêt,120,588
C01200,69466,420144,Meudon-la-Forêt,"Vélizy 2",120,705
C01200,69474,420177,"Aérodrome Morane / Le Mail","De Lattre de Tassigny",60,746
C01200,69474,69478,"Aérodrome Morane / Le Mail","Lycée de Villebon / Ermitage de Villebon",60,772
C01200,69478,69505,"Lycée de Villebon / Ermitage de Villebon","Rond-Point des Bruyères",360,772
C01200,69502,420144,"Docteur Roux / Les Postillons des Bruyères","Vélizy 2",480,705
C01200,69502,69505,"Docteur Roux / Les Postillons des Bruyères","Rond-Point des Bruyères",60,527
C01200,69505,69520,"Rond-Point des Bruyères","Les Capucins / Stade des Fontaines",60,1451
C01200,69520,417630,"Les Capucins / Stade des Fontaines","Gare de Sèvres - Rive Gauche",60,1477
C01200,69537,417630,"Brimborion - Division Leclerc / Les Binelles","Gare de Sèvres - Rive Gauche",120,1477
C01200,69537,70684,"Brimborion - Division Leclerc / Les Binelles","Parc de Saint-Cloud",60,1084
C01200,69923,480872,Séverine,Malabry,120,1483
C01200,69923,69945,Séverine,"Léon Blum",60,1482
C01200,69926,480872,"Avenue Galilée",Malabry,60,740
C01200,69926,69959,"Avenue Galilée","La Boursidière",60,724
C01200,69945,69984,"Léon Blum","Cité Jardins - Place des Alliés / Grand Marché",60,1483
C01200,69984,70018,"Cité Jardins - Place des Alliés / Grand Marché","Charles Pasqua",60,1483
C01200,70018,70044,"Charles Pasqua","Coeur de Ville",60,1483
C01200,70024,427230,Robinson,Robinson,120,1483
C01200,70024,70058,Robinson,"Cité Basse",60,1483
C01200,70044,70063,"Coeur de Ville",L'Escalier,60,1324
C01200,70058,70063,"Cité Basse",L'Escalier,60,1393
C01200,70684,70692,"Parc de Saint-Cloud","Musée de Sèvres",120,1111
C01200,70692,70698,"Musée de Sèvres","Pont de Sèvres",60,1477
C01210,477254,478887,"Île de France","Cimetière Intercommunal",60,1331
C01210,70149,477254,"Georges Pompidou","Île de France",60,1692
