code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C01867,65571,65758,"Centre Commercial Paris Nord 2 / Érables","Fontaine Cypierre",300,405
C01867,65926,422532,"Pierre Salvi / Rond-Point du 14 Juillet","Gonesse Hôpital",240,405
C01867,65926,66009,"Pierre Salvi / Rond-Point du 14 Juillet","Villiers-le-Bel - Gonesse - Arnouville",240,405
C01867,65758,422532,"Fontaine Cypierre","Gonesse Hôpital",240,405
C01867,65571,483638,"Centre Commercial Paris Nord 2 / Érables","Paris Nord 2 - Bois de la Pie",120,405
C01867,73568,483638,"Parc des Expositions","Paris Nord 2 - Bois de la Pie",120,405
C00216,72729,72775,"Armand Esders","Centre Commercial O'Parinor",210,380
C00216,72775,74015,"Centre Commercial O'Parinor","Garonor Entrée 4",240,252
C00216,72757,72775,"Route de Gonesse","Centre Commercial O'Parinor",180,632
C00216,73486,73503,"Parmentier / Saint Vincent de Paul",Poste,120,192
C00216,73511,73515,Botticelli,"Collège Claude Debussy",120,316
C00216,73491,496049,"Sevran - Beaudottes","Hôpital Ballanger (Avenue Martin Luther King)",180,384
C00216,73482,480711,"Vert Galant",Stade,120,192
C00216,72763,73511,"Le Suroît",Botticelli,120,316
C00216,73482,73486,"Vert Galant","Parmentier / Saint Vincent de Paul",120,192
C00216,73489,73497,Savigny,"Gros Saule",120,316
C00216,73524,424029,"Bec Salé","Les Fougères",120,384
C00216,73504,73525,"Fontaine Mallet","La Roseraie / Leclerc",60,384
C00216,73491,73497,"Sevran - Beaudottes","Gros Saule",180,632
C00216,73492,73501,"Schuman / Schweitzer / Paré",Lilas,120,316
C00216,73520,73524,"Le Clos Montceleux","Bec Salé",60,384
C00216,72756,72763,"Auguste Renoir / La Brise / Chemin de Roissy","Le Suroît",60,326
C00216,72716,72729,"11-14 Avenue Albert Einstein","Armand Esders",60,534
C00216,72700,72710,"Collège Aimé et Eugénie Cotton","Isaac Newton",60,632
C00216,72756,72757,"Auguste Renoir / La Brise / Chemin de Roissy","Route de Gonesse",60,620
C00216,73503,73519,Poste,"Place René Droulot",60,384
C00216,72648,72666,"Le Blanc-Mesnil",Pasteur,60,632
C00216,72688,72700,"Docteur Calmette","Collège Aimé et Eugénie Cotton",60,632
C00216,74017,480711,Combattants,Stade,60,192
C00216,73513,496049,"Rue / Route de Sevran","Hôpital Ballanger (Avenue Martin Luther King)",60,384
C00216,74010,424029,"Georges Sachet / Jussieu","Les Fougères",60,288
C00216,73486,480711,"Parmentier / Saint Vincent de Paul",Stade,60,384
C00216,72744,72760,"Descartes - Renault / Rond Point Pablo Néruda","Anatole Sigonneau - Centre d'Affaires",60,252
C00216,72729,72744,"Armand Esders","Descartes - Renault / Rond Point Pablo Néruda",60,252
C00216,73504,74010,"Fontaine Mallet","Georges Sachet / Jussieu",60,384
C00216,73515,73516,"Collège Claude Debussy","Vélodrome (cours Salvador Allende)",60,316
C00216,72666,72679,Pasteur,"La Fontaine",60,632
C00216,73501,73515,Lilas,"Collège Claude Debussy",60,632
C00216,72759,73511,"Marc Chagall / Des Nénuphars",Botticelli,60,310
C00216,73519,73525,"Place René Droulot","La Roseraie / Leclerc",60,384
C00216,73511,73516,Botticelli,"Vélodrome (cours Salvador Allende)",60,316
C00216,73513,73520,"Rue / Route de Sevran","Le Clos Montceleux",60,384
C00216,73503,74017,Poste,Combattants,120,192
C00216,73489,73501,Savigny,Lilas,60,316
C00216,72679,72688,"La Fontaine","Docteur Calmette",60,632
C00216,72759,72763,"Marc Chagall / Des Nénuphars","Le Suroît",60,264
