code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C00001,69556,69561,"Raoul Delattre",Weddingen,60,290
C00001,69556,69565,"Raoul Delattre",EDF,60,290
C00001,69561,69564,Weddingen,"Lycée Marianne",60,290
C00001,69564,495704,"Lycée Marianne","ZA de la Carelle",120,290
C00001,69565,69572,EDF,Écoles,60,290
C00001,69572,73679,Écoles,"Place Paul Bert",60,290
C00001,69585,478499,"Henri Dunant","Place Molière",60,290
C00001,69585,69603,"Henri Dunant","Paul Painlevé / Place Gounot",60,290
C00001,69587,478499,"Place Amédée Soupault","Place Molière",120,290
C00001,69587,69599,"Place Amédée Soupault",Marché,60,290
C00001,69599,69625,Marché,Villeneuve-le-Roi,120,290
C00001,69603,463511,"Paul Painlevé / Place Gounot",Cimetières,120,290
C00001,69608,495702,"La Fresnaie","Espace Naturel Pierre-Fitte",120,290
C00001,69608,73679,"La Fresnaie","Place Paul Bert",120,290
C00001,69625,463515,Villeneuve-le-Roi,"Rue de la Paix",120,290
C00001,69625,495704,Villeneuve-le-Roi,"ZA de la Carelle",180,290
C00001,69648,69653,"J.-J. Rousseau","Mairie / Paul Lafargue",60,290
C00001,69648,69656,"J.-J. Rousseau","Orly - Gaston Viens",120,290
C00001,69653,69657,"Mairie / Paul Lafargue","Parc Méliès",120,290
C00001,69656,463511,"Orly - Gaston Viens",Cimetières,180,290
C00001,69657,73897,"Parc Méliès","Cimetière Paysager",60,290
C00001,69665,69677,"Cité Jardins","Thiais - Orly (Pont de Rungis)",60,199
C00001,69665,73897,"Cité Jardins","Cimetière Paysager",180,290
C00001,69677,74372,"Thiais - Orly (Pont de Rungis)","Hauts Flouviers",60,290
C00001,69731,69762,"Pont d'Espagne","La Belle Épine",120,145
C00001,69731,74372,"Pont d'Espagne","Hauts Flouviers",120,290
C00001,69762,480875,"La Belle Épine","Le Cor de Chasse / Belle Épine Nord",60,145
C00001,74101,463515,"Parc en Seine","Rue de la Paix",60,290
C00001,74101,495702,"Parc en Seine","Espace Naturel Pierre-Fitte",120,290
C00003,69553,478500,"Les Pierrières","Rue Foch",180,41
C00003,69553,69567,"Les Pierrières","Ernest Renan",180,41
C00003,69556,69561,"Raoul Delattre",Weddingen,60,41
C00003,69556,69565,"Raoul Delattre",EDF,120,41
C00003,69561,69564,Weddingen,"Lycée Marianne",60,41
C00003,69564,69579,"Lycée Marianne","Jeanne d'Arc",60,41
C00003,69565,69572,EDF,Écoles,120,41
C00003,69567,69587,"Ernest Renan","Place Amédée Soupault",180,41
C00003,69572,73679,Écoles,"Place Paul Bert",60,50
C00003,69578,478500,"Pierre Curie","Rue Foch",360,41
C00003,69578,69596,"Pierre Curie","Foyer Jean Rostand",240,41
C00003,69579,69582,"Jeanne d'Arc","Poincaré / Victor Hugo",60,91
C00003,69579,69592,"Jeanne d'Arc","Général de Gaulle",60,50
C00003,69582,69587,"Poincaré / Victor Hugo","Place Amédée Soupault",60,91
C00003,69587,69599,"Place Amédée Soupault",Marché,120,50
C00003,69592,69625,"Général de Gaulle",Villeneuve-le-Roi,120,50
C00003,69596,69604,"Foyer Jean Rostand","Guillaume du Vair",120,40
C00003,69599,69625,Marché,Villeneuve-le-Roi,120,50
C00003,69604,69620,"Guillaume du Vair","Place Colonel A. Beltrame",120,40
C00003,69608,73679,"La Fresnaie","Place Paul Bert",120,50
C00003,69608,74101,"La Fresnaie","Parc en Seine",180,50
C00003,69612,69620,"École Paul Painlevé","Place Colonel A. Beltrame",180,40
C00003,69612,69640,"École Paul Painlevé",Gallieni,60,40
C00003,69621,69625,"Abbé Grégoire / Louis Jarrige",Villeneuve-le-Roi,60,40
C00003,69621,69642,"Abbé Grégoire / Louis Jarrige","Nikos Belloyanis",60,40
C00003,69625,463515,Villeneuve-le-Roi,"Rue de la Paix",120,50
C00003,69640,69642,Gallieni,"Nikos Belloyanis",,0
C00003,74101,463515,"Parc en Seine","Rue de la Paix",60,50
C00004,69554,69557,Ablon,"Reine Astrid",60,1052
C00004,69554,69563,Ablon,Brossolette,120,1073
C00004,69556,69561,"Raoul Delattre",Weddingen,60,1073
C00004,69556,74105,"Raoul Delattre","Pont de Villeneuve-le-Roi",60,534
C00004,69557,69576,"Reine Astrid","Place de la République",60,1073
C00004,69561,69564,Weddingen,"Lycée Marianne",60,1051
C00004,69563,69564,Brossolette,"Lycée Marianne",60,1073
C00004,69568,74105,Villeneuve-Saint-Georges,"Pont de Villeneuve-le-Roi",120,535
C00004,69576,69587,"Place de la République","Place Amédée Soupault",60,1073
C00004,69587,69603,"Place Amédée Soupault","Paul Painlevé / Place Gounot",120,1073
C00004,69603,69620,"Paul Painlevé / Place Gounot","Place Colonel A. Beltrame",120,1073
C00004,69620,69639,"Place Colonel A. Beltrame","Orly Ville",60,1073
C00004,69639,69648,"Orly Ville","J.-J. Rousseau",120,1073
C00004,69648,69656,"J.-J. Rousseau","Orly - Gaston Viens",120,1073
C00004,69653,69669,"Mairie / Paul Lafargue","La Victoire",120,1073
C00004,69653,69673,"Mairie / Paul Lafargue","La Source",60,1070
C00004,69656,69669,"Orly - Gaston Viens","La Victoire",60,915
C00004,69673,69686,"La Source","Noyer Grenot",120,1073
C00004,69686,69701,"Noyer Grenot","Jean Jaurès",60,1073
C00004,69701,69722,"Jean Jaurès","Les Tilleuls",60,978
C00004,69722,69755,"Les Tilleuls",Spinoza,60,1064
C00004,69755,69774,Spinoza,"Lycée / De Lattre de Tassigny",60,1073
C00004,69774,69791,"Lycée / De Lattre de Tassigny","Guy Môquet",60,1073
C00004,69791,69819,"Guy Môquet","Général Leclerc",120,1073
C00004,69819,69846,"Général Leclerc","Rouget de Lisle",60,346
