route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
A,65048,73604,Maisons-Laffitte,Achères Ville,350,1141
A,68105,68266,Bussy-Saint-Georges,Val d'Europe,215,2303
A,71347,71517,Charles de Gaulle - Étoile,La Défense,214,4685
A,64883,65190,Poissy,Achères Grand Cormier,350,1026
A,68105,68129,Bussy-Saint-Georges,Torcy,188,2308
A,71651,71718,Vincennes,Val de Fontenay,226,2195
A,65048,65190,Maisons-Laffitte,Achères Grand Cormier,200,1026
A,64741,70945,Houilles - Carrières-sur-Seine,Nanterre Préfecture,240,2167
A,66696,66858,Cergy Préfecture,Cergy Saint-Christophe,200,1141
A,71651,71673,Vincennes,Nation,155,629
A,64741,64918,Houilles - Carrières-sur-Seine,Sartrouville,160,2167
A,474151,73626,Châtelet - Les Halles,Gare de Lyon,150,4685
A,66436,73605,Neuville Université,Conflans Fin d'Oise,150,1141
A,72929,72998,Sucy - Bonneuil,La Varenne - Chennevières,144,2126
A,68153,73163,Noisiel,Noisy - Champs,146,2493
A,478926,71347,Auber,Charles de Gaulle - Étoile,146,4685
A,66436,66696,Neuville Université,Cergy Préfecture,170,1141
A,73604,73605,Achères Ville,Conflans Fin d'Oise,130,1141
A,412697,73163,Noisy-le-Grand - Mont d'Est,Noisy - Champs,135,2543
A,71630,71651,Fontenay-sous-Bois,Vincennes,136,2490
A,72881,72929,Boissy-Saint-Léger,Sucy - Bonneuil,146,2126
A,71718,73190,Val de Fontenay,Neuilly-Plaisance,129,2195
A,64582,64589,Le Vésinet - Le Pecq,Saint-Germain-en-Laye,197,2133
A,70902,70940,Rueil-Malmaison,Nanterre Ville,112,2446
A,70359,73042,Le Parc de Saint-Maur,Champigny,114,2137
A,412697,73166,Noisy-le-Grand - Mont d'Est,Bry-sur-Marne,123,2144
A,474151,478926,Châtelet - Les Halles,Auber,115,4685
A,70640,71590,Joinville-le-Pont,Nogent-sur-Marne,105,2490
A,66834,66858,Cergy le Haut,Cergy Saint-Christophe,170,1141
A,68266,68385,Val d'Europe,Marne-la-Vallée Chessy,124,2327
A,70393,70640,Saint-Maur - Créteil,Joinville-le-Pont,114,2137
A,71673,73626,Nation,Gare de Lyon,122,629
A,64483,64514,Chatou - Croissy,Le Vésinet - Centre,108,2252
A,68123,68129,Lognes,Torcy,104,2491
A,70940,70956,Nanterre Ville,Nanterre Université,103,2446
A,72998,73042,La Varenne - Chennevières,Champigny,97,2137
A,70945,71517,Nanterre Préfecture,La Défense,97,4599
A,64918,65048,Sartrouville,Maisons-Laffitte,90,2167
A,68123,68153,Lognes,Noisiel,95,2441
A,73166,73190,Bry-sur-Marne,Neuilly-Plaisance,90,2144
A,64514,64582,Le Vésinet - Centre,Le Vésinet - Le Pecq,94,2252
A,64483,70902,Chatou - Croissy,Rueil-Malmaison,93,2252
A,71590,71630,Nogent-sur-Marne,Fontenay-sous-Bois,90,2490
A,70359,70393,Le Parc de Saint-Maur,Saint-Maur - Créteil,80,2137
A,70945,70956,Nanterre Préfecture,Nanterre Université,99,2419
B,73568,73596,Parc des Expositions,Aéroport CDG 1 (Terminal 3),280,1488
B,71410,72211,Gare du Nord,La Plaine Stade de France,280,2982
B,68916,69065,Villeparisis - Mitry-le-Neuf,Mitry - Claye,230,1469
B,72598,72641,La Courneuve - Aubervilliers,Le Bourget,180,2969
B,72646,73439,Aulnay-sous-Bois,Sevran - Livry,170,1469
B,62890,62951,Gif-Sur-Yvette,Courcelle-sur-Yvette,158,1481
B,68916,73482,Villeparisis - Mitry-le-Neuf,Vert Galant,160,1468
B,72646,73491,Aulnay-sous-Bois,Sevran Beaudottes,170,1488
B,73439,73482,Sevran - Livry,Vert Galant,140,1468
B,474151,71410,Châtelet - Les Halles,Gare du Nord,180,1245
B,72641,72652,Le Bourget,Drancy,140,2969
B,62951,62978,Courcelle-sur-Yvette,Saint-Rémy-lès-Chevreuse,142,1481
B,73491,73547,Sevran Beaudottes,Villepinte,120,1488
B,63029,63067,Lozère,Palaiseau - Villebon,128,1482
B,72211,72598,La Plaine Stade de France,La Courneuve - Aubervilliers,120,2969
