route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C,59531,478855,"Saint-Martin d'Étampes",Étampes,140,728
C,59678,478855,Étréchy,Étampes,320,728
C,59678,59734,Étréchy,Chamarande,160,728
C,59734,59761,Chamarande,Lardy,180,728
C,59761,59830,Lardy,Bouray,170,728
C,59830,59948,Bouray,Marolles-en-Hurepoix,190,728
C,59836,59842,Dourdan,Sermaise,260,768
C,59836,59843,Dourdan,"Dourdan la Forêt",140,74
C,59842,59882,Sermaise,Saint-Chéron,230,768
C,59882,59940,Saint-Chéron,"Breuillet Village",210,769
C,59940,60028,"Breuillet Village","Breuillet - Bruyères-le-Châtel",160,769
C,59948,60247,Marolles-en-Hurepoix,Brétigny,240,728
C,60028,60052,"Breuillet - Bruyères-le-Châtel",Égly,160,769
C,60052,60072,Égly,Arpajon,120,769
C,60072,60115,Arpajon,"La Norville - Saint-Germain-lès-Arpajon",140,769
C,60115,60247,"La Norville - Saint-Germain-lès-Arpajon",Brétigny,260,769
C,60247,60536,Brétigny,Saint-Michel-sur-Orge,180,1500
C,60536,60785,Saint-Michel-sur-Orge,Sainte-Geneviève-des-Bois,130,1500
C,60785,60915,Sainte-Geneviève-des-Bois,Épinay-sur-Orge,150,1500
C,60915,60987,Épinay-sur-Orge,Savigny-sur-Orge,120,1508
C,60987,478505,Savigny-sur-Orge,Juvisy,170,1508
C,63134,478505,Athis-Mons,Juvisy,230,988
C,63134,69554,Athis-Mons,Ablon,130,988
C,63244,63320,"Massy - Palaiseau","Massy - Verrières",160,703
C,63320,69682,"Massy - Verrières","Chemin d'Antony",190,703
C,63812,73731,"Saint-Quentin en Yvelines - Montigny-le-Bretonneux",Saint-Cyr,210,168
C,63880,63923,"Versailles Chantiers","Viroflay Rive Gauche",205,168
C,63880,73731,"Versailles Chantiers",Saint-Cyr,270,168
C,63886,63923,Porchefontaine,"Viroflay Rive Gauche",120,211
C,63886,73721,Porchefontaine,"Versailles Château Rive Gauche",190,211
C,63923,69487,"Viroflay Rive Gauche","Chaville - Vélizy",90,379
C,65305,65669,Saint-Gratien,"Ermont - Eaubonne",180,406
C,65305,72383,Saint-Gratien,Épinay-sur-Seine,120,406
C,65669,65752,"Ermont - Eaubonne",Cernay,110,406
C,65752,66005,Cernay,"Franconville - Le Plessis-Bouchard",130,406
C,66005,66335,"Franconville - Le Plessis-Bouchard","Montigny - Beauchamp",190,406
C,66335,66491,"Montigny - Beauchamp",Pierrelaye,170,198
C,66491,66659,Pierrelaye,"Saint-Ouen-l'Aumône Liesse",150,198
C,66659,66803,"Saint-Ouen-l'Aumône Liesse",Saint-Ouen-l'Aumône,190,198
C,66803,66816,Saint-Ouen-l'Aumône,Pontoise,130,198
C,69487,70412,"Chaville - Vélizy","Meudon Val Fleury",250,407
C,69554,69625,Ablon,Villeneuve-le-Roi,120,988
C,69625,69852,Villeneuve-le-Roi,Choisy-le-Roi,170,988
C,69633,69677,"Rungis la Fraternelle","Thiais - Orly (Pont de Rungis)",120,703
C,69633,69682,"Rungis la Fraternelle","Chemin d'Antony",190,703
C,69639,69662,"Orly Ville","Les Saules",110,772
C,69639,69677,"Orly Ville","Thiais - Orly (Pont de Rungis)",200,772
C,69662,69852,"Les Saules",Choisy-le-Roi,160,1437
C,69852,70064,Choisy-le-Roi,"Les Ardoines",140,2374
C,70064,70313,"Les Ardoines",Vitry-sur-Seine,130,1425
C,70313,424396,Vitry-sur-Seine,Ivry-sur-Seine,120,1429
C,70412,70612,"Meudon Val Fleury",Issy,140,407
C,70612,71016,Issy,"Issy Val de Seine",120,407
C,71016,74002,"Issy Val de Seine","Pont du Garigliano - Hôpital Européen G. Pompidou",100,407
C,71135,71572,"Gare d'Austerlitz","Bibliothèque François Mitterrand",150,4000
C,71135,73620,"Gare d'Austerlitz","Saint-Michel Notre-Dame",190,824
C,71150,73844,Javel,"Champ de Mars Tour Eiffel",120,406
C,71150,74002,Javel,"Pont du Garigliano - Hôpital Européen G. Pompidou",110,407
C,71212,71229,"Avenue du Président Kennedy Maison de Radio France",Boulainvilliers,70,390
C,71212,73844,"Avenue du Président Kennedy Maison de Radio France","Champ de Mars Tour Eiffel",100,390
C,71229,71286,Boulainvilliers,"Avenue Henri Martin",100,390
C,71269,71274,"Musée d'Orsay",Invalides,100,635
C,71269,73620,"Musée d'Orsay","Saint-Michel Notre-Dame",150,824
C,71274,492980,Invalides,"Pont de l'Alma",100,796
C,71286,71321,"Avenue Henri Martin","Avenue Foch",60,408
C,71321,71379,"Avenue Foch","Neuilly - Porte Maillot",140,408
C,71379,71453,"Neuilly - Porte Maillot","Péreire Levallois",120,408
C,71453,71545,"Péreire Levallois","Porte de Clichy",150,408
C,71545,72126,"Porte de Clichy",Saint-Ouen,140,406
C,71572,424396,"Bibliothèque François Mitterrand",Ivry-sur-Seine,140,1477
C,72126,72225,Saint-Ouen,"Les Grésillons",180,406
C,72225,72303,"Les Grésillons",Gennevilliers,110,406
C,72303,72383,Gennevilliers,Épinay-sur-Seine,150,406
C,73844,492980,"Champ de Mars Tour Eiffel","Pont de l'Alma",90,796
