route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
H,411327,411330,Précy-sur-Oise,Saint-Leu-d'Esserent,170,226
H,411327,411333,Précy-sur-Oise,Boran-sur-Oise,220,226
H,411330,411441,Saint-Leu-d'Esserent,Creil,360,226
H,65227,65360,"Épinay - Villetaneuse","La Barre Ormesson",100,1316
H,65227,65485,"Épinay - Villetaneuse",Enghien-les-Bains,160,116
H,65227,65562,"Épinay - Villetaneuse","Deuil - Montmagny",150,951
H,65227,66079,"Épinay - Villetaneuse","Sarcelles - Saint-Brice",290,30
H,65227,71410,"Épinay - Villetaneuse","Gare du Nord",500,128
H,65227,72323,"Épinay - Villetaneuse",Saint-Denis,170,2285
H,65360,65485,"La Barre Ormesson",Enghien-les-Bains,90,1316
H,65485,65663,Enghien-les-Bains,"Champ de Courses d'Enghien",110,1290
H,65485,65669,Enghien-les-Bains,"Ermont - Eaubonne",200,142
H,65562,65749,"Deuil - Montmagny",Groslay,100,951
H,65663,65669,"Champ de Courses d'Enghien","Ermont - Eaubonne",120,1290
H,65669,65752,"Ermont - Eaubonne",Cernay,110,728
H,65669,65910,"Ermont - Eaubonne","Ermont Halte",120,743
H,65749,66079,Groslay,"Sarcelles - Saint-Brice",130,951
H,65752,66005,Cernay,"Franconville - Le Plessis-Bouchard",130,728
H,65910,66063,"Ermont Halte","Gros Noyer Saint-Prix",70,743
H,66005,66335,"Franconville - Le Plessis-Bouchard","Montigny - Beauchamp",180,728
H,66063,66452,"Gros Noyer Saint-Prix",Saint-Leu-la-Forêt,150,743
H,66079,66533,"Sarcelles - Saint-Brice","Écouen - Ézanville",170,692
H,66079,67000,"Sarcelles - Saint-Brice","Montsoult - Maffliers",465,10
H,66079,71410,"Sarcelles - Saint-Brice","Gare du Nord",730,36
H,66335,66491,"Montigny - Beauchamp",Pierrelaye,170,728
H,66452,66520,Saint-Leu-la-Forêt,Vaucelles,100,602
H,66452,67107,Saint-Leu-la-Forêt,Valmondois,730,21
H,66491,66659,Pierrelaye,"Saint-Ouen-l'Aumône Liesse",150,728
H,66520,66557,Vaucelles,Taverny,70,602
H,66533,66654,"Écouen - Ézanville",Domont,140,692
H,66557,66672,Taverny,Bessancourt,110,602
H,66654,66795,Domont,"Bouffémont - Moisselles",130,692
H,66659,66803,"Saint-Ouen-l'Aumône Liesse",Saint-Ouen-l'Aumône,150,728
H,66672,66798,Bessancourt,Frépillon,110,602
H,66795,67000,"Bouffémont - Moisselles","Montsoult - Maffliers",150,692
H,66798,66934,Frépillon,Méry-sur-Oise,115,602
H,66803,66816,Saint-Ouen-l'Aumône,Pontoise,100,1019
H,66803,66915,Saint-Ouen-l'Aumône,Épluches,150,291
H,66915,66952,Épluches,"Pont Petit",80,291
H,66934,67065,Méry-sur-Oise,Mériel,150,602
H,66952,67016,"Pont Petit",Chaponval,100,291
H,67000,67072,"Montsoult - Maffliers",Villaines,190,312
H,67000,67169,"Montsoult - Maffliers","Presles - Courcelles",330,341
H,67016,67027,Chaponval,Auvers-sur-Oise,150,291
H,67027,67107,Auvers-sur-Oise,Valmondois,170,297
H,67027,71410,Auvers-sur-Oise,"Gare du Nord",,0
H,67065,67107,Mériel,Valmondois,140,602
H,67072,67126,Villaines,"Belloy - Saint-Martin",160,312
H,67107,67172,Valmondois,"L'Isle-Adam - Parmain",160,721
H,67126,67176,"Belloy - Saint-Martin",Viarmes,150,312
H,67169,67227,"Presles - Courcelles","Nointel - Mours",150,341
H,67172,67241,"L'Isle-Adam - Parmain",Champagne-sur-Oise,190,721
H,67176,67180,Viarmes,Seugy,150,312
H,67177,67180,Luzarches,Seugy,150,312
H,67227,67292,"Nointel - Mours","Persan - Beaumont",240,341
H,67241,67292,Champagne-sur-Oise,"Persan - Beaumont",240,721
H,67292,67325,"Persan - Beaumont",Bruyères-sur-Oise,250,226
H,67325,411333,Bruyères-sur-Oise,Boran-sur-Oise,180,226
H,71410,72323,"Gare du Nord",Saint-Denis,370,2285
J,411339,411346,Trie-Château,Chaumont-en-Vexin,240,194
J,411343,411346,Liancourt-Saint-Pierre,Chaumont-en-Vexin,250,194
J,411343,411349,Liancourt-Saint-Pierre,Lavilletertre,150,194
J,64741,64883,"Houilles - Carrières-sur-Seine",Poissy,480,497
J,64741,64918,"Houilles - Carrières-sur-Seine",Sartrouville,180,13
J,64741,65691,"Houilles - Carrières-sur-Seine","Vernouillet - Verneuil",770,24
J,64741,71370,"Houilles - Carrières-sur-Seine","Gare Saint-Lazare",660,534
J,64883,64949,Poissy,Villennes-sur-Seine,220,534
J,64883,65048,Poissy,Maisons-Laffitte,360,13
J,64883,65691,Poissy,"Vernouillet - Verneuil",360,1
J,64883,71370,Poissy,"Gare Saint-Lazare",1055,18
J,64918,65048,Sartrouville,Maisons-Laffitte,110,13
J,64949,65691,Villennes-sur-Seine,"Vernouillet - Verneuil",240,534
J,65063,65110,Argenteuil,"Val d'Argenteuil",160,1607
J,65063,65399,Argenteuil,Cormeilles-en-Parisis,300,78
J,65063,65441,Argenteuil,Sannois,190,1280
J,65063,66095,Argenteuil,"Conflans Sainte-Honorine",560,9
J,65063,71370,Argenteuil,"Gare Saint-Lazare",610,1633
J,65063,72287,Argenteuil,"Le Stade",130,1360
J,65110,65399,"Val d'Argenteuil",Cormeilles-en-Parisis,190,1498
J,65110,65659,"Val d'Argenteuil","La Frette - Montigny",240,19
J,65110,65897,"Val d'Argenteuil",Herblay,310,90
J,65326,65490,"Épône - Mézières","Aubergenville Élisabethville",200,466
J,65326,65770,"Épône - Mézières","Mantes Station",370,456
J,65399,65659,Cormeilles-en-Parisis,"La Frette - Montigny",120,1367
J,65399,65897,Cormeilles-en-Parisis,Herblay,210,33
J,65399,66095,Cormeilles-en-Parisis,"Conflans Sainte-Honorine",360,176
J,65441,65669,Sannois,"Ermont - Eaubonne",140,1280
J,65443,463843,Chanteloup-les-Vignes,Triel-sur-Seine,140,613
J,65443,65542,Chanteloup-les-Vignes,Andrésy,120,613
J,65490,65994,"Aubergenville Élisabethville","Les Mureaux",270,466
J,65542,65827,Andrésy,Maurecourt,120,613
J,65659,65897,"La Frette - Montigny",Herblay,120,1384
J,65659,66095,"La Frette - Montigny","Conflans Sainte-Honorine",370,2
J,65668,65732,"Issou - Porcheville",Gargenville,130,613
J,65668,65788,"Issou - Porcheville",Limay,160,613
J,65691,65985,"Vernouillet - Verneuil","Les Clairières de Verneuil",180,535
J,65691,65994,"Vernouillet - Verneuil","Les Mureaux",420,24
J,65732,65988,Gargenville,Juziers,160,613
J,65770,65788,"Mantes Station",Limay,160,613
J,65770,65931,"Mantes Station",Mantes-la-Jolie,130,1069
J,65827,73605,Maurecourt,"Conflans Fin d'Oise",110,613
J,65897,66095,Herblay,"Conflans Sainte-Honorine",230,1507
J,65931,66157,Mantes-la-Jolie,Rosny-sur-Seine,250,120
J,65931,71370,Mantes-la-Jolie,"Gare Saint-Lazare",,0
J,65985,65994,"Les Clairières de Verneuil","Les Mureaux",220,535
J,65988,66321,Juziers,"Meulan - Hardricourt",220,613
J,66095,66484,"Conflans Sainte-Honorine","Éragny - Neuville",220,692
J,66095,66816,"Conflans Sainte-Honorine",Pontoise,420,122
J,66095,71370,"Conflans Sainte-Honorine","Gare Saint-Lazare",1470,2
J,66095,73605,"Conflans Sainte-Honorine","Conflans Fin d'Oise",130,613
J,66157,66741,Rosny-sur-Seine,Bonnières,320,120
J,66321,66334,"Meulan - Hardricourt","Thun le Paradis",100,613
J,66334,66338,"Thun le Paradis",Vaux-sur-Seine,180,613
J,66338,463843,Vaux-sur-Seine,Triel-sur-Seine,210,613
J,66484,66731,"Éragny - Neuville","Saint-Ouen-l'Aumône Quartier de l'Église",150,799
J,66484,73605,"Éragny - Neuville","Conflans Fin d'Oise",200,107
J,66731,66816,"Saint-Ouen-l'Aumône Quartier de l'Église",Pontoise,130,799
J,66741,74127,Bonnières,"Vernon - Giverny",420,120
J,66816,66977,Pontoise,Osny,250,509
J,66977,67056,Osny,Boissy-l'Aillerie,160,509
J,67056,67076,Boissy-l'Aillerie,"Montgeroult - Courcelles",120,191
J,67056,67131,Boissy-l'Aillerie,Us,220,46
J,67076,67131,"Montgeroult - Courcelles",Us,170,191
J,67131,67196,Us,"Santeuil - Le Perchay",170,191
J,67131,67352,Us,Chars,320,46
J,67196,67352,"Santeuil - Le Perchay",Chars,210,191
J,67352,411346,Chars,Chaumont-en-Vexin,480,43
J,67352,411349,Chars,Lavilletertre,220,194
J,71370,72132,"Gare Saint-Lazare",Asnières-sur-Seine,350,1356
J,71370,72179,"Gare Saint-Lazare",Bois-Colombes,515,4
J,71370,73605,"Gare Saint-Lazare","Conflans Fin d'Oise",1260,106
J,72132,72179,Asnières-sur-Seine,Bois-Colombes,110,1356
J,72179,72244,Bois-Colombes,Colombes,120,1360
J,72244,72287,Colombes,"Le Stade",80,1360
J,74348,411339,Gisors,Trie-Château,190,194
J,74348,411346,Gisors,Chaumont-en-Vexin,360,43
K,411388,411391,Ormoy-Villers,Nanteuil-le-Haudouin,290,244
K,411388,411397,Ormoy-Villers,Crépy-en-Valois,300,244
K,411391,411397,Nanteuil-le-Haudouin,Crépy-en-Valois,490,54
K,411391,411406,Nanteuil-le-Haudouin,"Le Plessis-Belleville",270,298
K,69065,69136,"Mitry - Claye",Compans,160,244
K,69065,69254,"Mitry - Claye","Dammartin - Juilly - Saint-Mard",370,54
K,69065,72646,"Mitry - Claye",Aulnay-sous-Bois,500,62
K,69136,69196,Compans,"Thieux - Nantouillet",140,244
K,69196,69254,"Thieux - Nantouillet","Dammartin - Juilly - Saint-Mard",170,244
K,69254,411406,"Dammartin - Juilly - Saint-Mard","Le Plessis-Belleville",300,298
K,71410,72646,"Gare du Nord",Aulnay-sous-Bois,690,62
L,63989,422420,Montreuil,"Viroflay - Rive Droite",100,1151
L,63989,64021,Montreuil,"Versailles Rive Droite",150,1151
L,64251,64301,"La Celle-Saint-Cloud",Bougival,110,987
L,64251,70705,"La Celle-Saint-Cloud",Vaucresson,100,987
L,64301,64341,Bougival,Louveciennes,100,987
L,64341,64405,Louveciennes,Marly-le-Roi,160,987
L,64382,73603,"Saint-Nom-la-Bretèche - Forêt de Marly",L'Étang-la-Ville,210,987
L,64405,73603,Marly-le-Roi,L'Étang-la-Ville,120,987
L,64741,64918,"Houilles - Carrières-sur-Seine",Sartrouville,160,955
