zdc,label,commune,latitude,longitude
66608,"Les Dames Gilles",Vauréal,49.02979575,2.03336618
67306,"Église / École",Ambleville,49.15086979,1.69737899
61256,Larchant,Larchant,48.28461857,2.595342
66035,Église,Lommoye,48.99363211,1.51454933
63354,Église,Igny,48.74163052,2.22441796
68114,"Place de l'Église",Saint-Denis-lès-Rebais,48.83580909,3.21019596
61924,Église,Fontains,48.52647247,3.0017606
59544,"Place de l'Église",Bouville,48.4316446,2.28412528
491744,"VILLETTE Église",Villette,48.92724995,1.69220933
485650,Église,Videlles,48.46402801,2.43129486
60569,Église,Hermeray,48.6372345,1.67531076
62497,Mairie,"La Chapelle-Iger",48.65212697,2.98968256
72530,Canal,Aubervilliers,48.9152867,2.37055809
68025,"Léon Jouhaux",Croissy-Beaubourg,48.82672001,2.64022616
492710,"Église (Rue Grande)",Noisy-sur-École,48.36674228,2.50886368
485635,Blandy,Blandy,48.31307318,2.25674959
64414,"La Maladrerie",Beynes,48.87345855,1.88048059
60625,"La Garenne",Raizeux,48.64117774,1.69103895
60096,"Petit Bel Air",Émancé,48.58849003,1.7439819
60127,"Moreau Voisin",Émancé,48.59202016,1.72401572
59852,"Place Duquesne",Vert-le-Petit,48.53971619,2.3611546
74306,Lierville,Lierville,49.19169537,1.88011337
494787,Vaucanson-Vivaldi,Carrières-sur-Seine,48.92359452,2.17081583
72820,Pigeonnier,Villecresnes,48.70985814,2.52841762
67061,Fougères,Maffliers,49.07841529,2.31287016
64826,"Pont de l'Île",Poissy,48.92927498,2.0268808
65131,Monument,Ecquevilly,48.95173839,1.91361595
66195,"Parking Érambert",Mézy-sur-Seine,49.00109358,1.87759353
65717,"Ferme Joyeuse",Chanteloup-les-Vignes,48.98658623,2.02558898
66461,"Les Côteaux",Boisemont,49.01622024,1.9986464
66331,Vignes,Jouy-le-Moutier,49.00800875,2.0505032
67284,Bercagny,Chars,49.14564986,1.90154491
66963,Place,Saint-Cyr-en-Arthies,49.06071497,1.74146155
60172,"La Bâte",Longvilliers,48.59165636,2.01537574
497115,"Les Graviers",Neuilly-sur-Seine,48.88314056,2.26553798
497026,"Auvers (rue d'Auvers)",Noisy-sur-École,48.37449911,2.48379497
485624,Brouy,Brouy,48.31644885,2.27882495
59550,Paponville,Saint-Escobille,48.4326697,1.95233701
59512,"La Gare",Saint-Escobille,48.42240157,1.95820551
59790,"La Bruyère",Roinville,48.52611651,2.06749087
59838,"La Briche",Souzy-la-Briche,48.53547981,2.17301203
59829,"Le Mesnil",Sermaise,48.53325241,2.10160756
59849,"La Charpenterie",Sermaise,48.53856544,2.09164071
59810,Église,Torfou,48.53006752,2.22561011
462227,"La Bretonne","Les Granges-le-Roi",48.50066301,2.01478185
59612,"Villiers les Oudets",Paray-Douaville,48.45174203,1.87452556
462342,Ruisseaux,Abbéville-la-Rivière,48.33866958,2.17240627
462001,Marbrerie,Saclas,48.34828608,2.11370072
60455,"Le Cormier",Limours,48.6289529,2.0564851
59777,"Collège Tillon",Lardy,48.52432181,2.29396571
60120,Mairie,Courson-Monteloup,48.59283101,2.14528291
60119,"Le Bas",Angervilliers,48.59248123,2.06983526
59944,"Le Val","Le Val-Saint-Germain",48.56549482,2.06086705
59713,Château,Janville-sur-Juine,48.50964778,2.23559215
59621,"Le Chesnay",Étampes,48.45678217,2.10760919
59469,Moulineux,Chalou-Moulineux,48.39245023,2.02603638
59491,Beaumont,Chalo-Saint-Mars,48.40876741,2.04212625
59811,Église,Mauchamps,48.53033177,2.19364064
496987,Collège,Champcueil,48.51405799,2.44889638
59931,"Lycée Marie Laurencin",Mennecy,48.56418087,2.43884147
485435,"Rue de la Ferté",Ormoy,48.57423822,2.4723113
59895,Rouillon,Dourdan,48.55447548,2.00027328
496832,"La Picardie",Grandpuits-Bailly-Carrois,48.57733302,2.99194761
67645,Curie,Lésigny,48.74378272,2.62122779
496823,Bergeries,Noisy-le-Sec,48.8918771,2.45282192
496805,Villefranche,Chevry-en-Sereine,48.24661833,2.94668103
496802,"Les Basses Loges",Blennes,48.25243008,3.0296803
496800,"Les Sorins",Blennes,48.25309788,3.02030358
496795,Saint-André,Blennes,48.21751353,2.99285074
496784,"Rue Pasteur",Voulx,48.28130121,2.9637791
62304,Rougeau,Savigny-le-Temple,48.60143001,2.57036684
62127,"La Futaie",Vert-Saint-Denis,48.55831517,2.61240455
62315,"Forêt de France",Savigny-le-Temple,48.60410043,2.55294316
68392,"Sente Verte",Saint-Thibault-des-Vignes,48.87245461,2.69310672
68381,"Puits du Gué",Montévrain,48.87157289,2.75103792
68603,"Collège Louis Braille",Esbly,48.89675442,2.80497052
68226,Château,Champs-sur-Marne,48.85239125,2.60443919
68667,"Beaux Regards",Esbly,48.90815044,2.80623749
62355,Suscy-sous-Yèbles,Crisenoy,48.61685822,2.76395718
61297,Cugny,"La Genevraye",48.31860117,2.76958381
495917,Champagne,Savigny-sur-Orge,48.69196495,2.3565361
67557,"La Jarrie",Servon,48.71771075,2.60264516
487135,Champs-Elysées,Evry-Courcouronnes,48.62806926,2.42432903
62307,Bagneaux,Aubepierre-Ozouer-le-Repos,48.60152411,2.93933508
64815,"Lycée Évariste Galois - Collège Colette",Sartrouville,48.92861782,2.1637887
485893,"Lycée Ventura",Ozoir-la-Ferrière,48.75939379,2.69223418
67556,"Croix Blanche",Servon,48.7183999,2.60704404
68074,Monthérand,Guérard,48.83042408,2.92951971
64320,"Orée de Saint-Nom",Saint-Nom-la-Bretèche,48.85888807,2.01550553
67655,"Village de Lésigny",Lésigny,48.74646053,2.6176315
67451,"Puit Fleury",Voinsles,48.69216241,3.00715981
492207,"Ancienne Gare",Brie-Comte-Robert,48.69727905,2.61477105
66093,"Val Fleuri",Rosny-sur-Seine,48.99569692,1.62358493
62465,Bonfruit,Aubepierre-Ozouer-le-Repos,48.64305497,2.9118147
67572,Attilly,Férolles-Attilly,48.72760939,2.64107191
62336,Mairie,Aubepierre-Ozouer-le-Repos,48.61113069,2.91043058
66895,Mairie,Montalet-le-Bois,49.04568749,1.82575348
425559,"Les Bordes",Chenoise-Cucharmoy,48.62867123,3.21073459
62222,"Le Chanoy",Chenoise-Cucharmoy,48.57458678,3.1925831
60375,Quincampoix,Fontenay-lès-Briis,48.61821199,2.17003636
70613,République,Vanves,48.82095594,2.28589071
69228,"Ferme de Stains",Villeneuve-sous-Dammartin,49.02071467,2.64733166
480275,Mesnil-Girault,Boissy-la-Rivière,48.38934135,2.20107083
60079,"Chemin des Près",Villabé,48.58739392,2.45331804
426889,"Lycée Baudelaire",Evry-Courcouronnes,48.63766025,2.43415837
485686,Ezerville,Roinvilliers,48.33941383,2.23213969
74058,Guignonville,Étampes,48.39867617,2.20984614
74181,"Rue Ampère",Ballancourt-sur-Essonne,48.52737659,2.3838552
485903,"Boulevard des Alliés",Maisse,48.39487003,2.3774102
69274,"Collège Nicolas Tronchon",Saint-Soupplets,49.03857898,2.8149004
425884,Donnerie,Fontenay-lès-Briis,48.59154866,2.1559354
64628,Acacias,"Le Vésinet",48.90448912,2.13344048
67073,"Jean Forget",Maffliers,49.08036695,2.31452795
66960,"Lamartine (Hameau de Vaux)",Méry-sur-Oise,49.06182948,2.15038046
67032,"Centre Commercial",Mériel,49.07212414,2.19730614
66955,"Honoré de Balzac",Villiers-Adam,49.06140752,2.2361957
67071,"Philibert Delorme",Maffliers,49.08048965,2.31712709
67600,"Petit Parc",Férolles-Attilly,48.73604094,2.63055746
477030,Comices,Cheptainville,48.54817384,2.2751227
60045,"Collège Albert Camus","La Norville",48.58047505,2.25284805
66721,Damply,Montalet-le-Bois,49.03881561,1.83298056
60600,"Chante Coq",Briis-sous-Forges,48.64118568,2.13082454
61012,"La Vacheresse",Gometz-la-Ville,48.68176335,2.10169125
493510,Chesnaie,Saint-Fargeau-Ponthierry,48.56521162,2.54308282
66717,Jardinerie,Méricourt,49.03693475,1.62548706
479847,"La Hante",Beton-Bazoches,48.73241913,3.24186765
67591,Courmereau,Touquin,48.73121308,3.02686597
62833,Briand,Bures-sur-Yvette,48.69632864,2.14607718
60696,"Le Carmel",Briis-sous-Forges,48.64883829,2.12067864
65113,"La Butte 2",Bréval,48.94872812,1.5529746
462221,"Rue de Bray",Cannes-Écluse,48.37052131,2.98667263
61405,"Petit Passeur","La Grande-Paroisse",48.3768658,2.88793928
61504,"La Thurelle",Vernou-la-Celle-sur-Seine,48.40007664,2.83372613
73339,"Les Gazelles",Montfermeil,48.90293668,2.56411376
492097,"La Roche aux Sages",Amponville,48.27903878,2.52932092
61244,Jacqueville,Amponville,48.27849918,2.52712857
61296,"Gare Routière","La Chapelle-la-Reine",48.31906261,2.57039082
61354,Bourg,"Le Vaudoué",48.35501645,2.51917849
61300,Boissy-aux-Cailles,Boissy-aux-Cailles,48.31766973,2.49979763
480234,Ferme,Noisy-sur-École,48.35641751,2.49479899
61301,"Château d'Eau","La Chapelle-la-Reine",48.32008609,2.57727595
59416,"Bois Minard",Nanteau-sur-Essonne,48.33142234,2.42921901
61241,Amponville,Amponville,48.27701791,2.52796409
69318,Vernelle,May-en-Multien,49.05253296,3.04592477
