ligne,desserte_id,station
1,1,"La Défense"
1,2,"Esplanade de la Défense"
1,3,"Pont de Neuilly"
1,4,"Les Sablons"
1,5,"Porte Maillot"
1,6,Argentine
1,7,"Charles de Gaulle — Étoile"
1,8,"George V"
1,9,"Franklin D. Roosevelt"
1,10,"Champs-Élysées — Clemenceau"
1,11,Concorde
1,12,Tuileries
1,13,"Palais Royal — Musée du Louvre"
1,14,"Louvre — Rivoli"
1,15,Châtelet
1,16,"Hôtel de Ville"
1,17,Saint-Paul
1,18,Bastille
1,19,"Gare de Lyon"
1,20,"Reuilly — Diderot"
1,21,Nation
1,22,"Porte de Vincennes"
1,23,Saint-Mandé
1,24,Bérault
1,25,"Château de Vincennes"
2,26,"Porte Dauphine"
2,27,"Victor Hugo"
2,28,"Charles de Gaulle — Étoile"
2,29,Ternes
2,30,Courcelles
2,31,Monceau
2,32,Villiers
2,33,Rome
2,34,"Place de Clichy"
2,35,Blanche
2,36,Pigalle
2,37,Anvers
2,38,"Barbès — Rochechouart"
2,39,"La Chapelle"
2,40,Stalingrad
2,41,Jaurès
2,42,"Colonel Fabien"
2,43,Belleville
2,44,Couronnes
2,45,Ménilmontant
2,46,"Père Lachaise"
2,47,"Philippe Auguste"
2,48,"Alexandre Dumas"
2,49,Avron
2,50,Nation
3,51,"Pont de Levallois — Bécon"
3,52,"Anatole France"
3,53,"Louise Michel"
3,54,"Porte de Champerret"
3,55,Pereire
3,56,Malesherbes
3,57,Villiers
3,58,Europe
3,59,Saint-Lazare
3,60,"Havre — Caumartin"
3,61,Opéra
3,62,Quatre-Septembre
3,63,Bourse
3,64,Sentier
3,65,"Réaumur — Sébastopol"
3,66,"Arts et Métiers"
3,67,Temple
3,68,République
3,69,Parmentier
3,70,"Rue Saint-Maur"
3,71,"Père Lachaise"
3,72,Gambetta
3,73,"Porte de Bagnolet"
3,74,Gallieni
4,75,"Porte de Clignancourt"
4,76,Simplon
4,77,"Marcadet — Poissonniers"
4,78,"Château Rouge"
4,79,"Barbès — Rochechouart"
4,80,"Gare du Nord"
4,81,"Gare de l'Est"
4,82,"Château d'Eau"
4,83,"Strasbourg — Saint-Denis"
4,84,"Réaumur — Sébastopol"
4,85,"Étienne Marcel"
4,86,"Les Halles"
4,87,Châtelet
4,88,Cité
4,89,Saint-Michel
4,90,Odéon
4,91,Saint-Germain-des-Prés
4,92,Saint-Sulpice
4,93,Saint-Placide
4,94,"Montparnasse — Bienvenüe"
4,95,Vavin
4,96,Raspail
4,97,Denfert-Rochereau
4,98,Mouton-Duvernet
4,99,Alésia
4,100,"Porte d'Orléans"
4,101,"Mairie de Montrouge"
4,102,Barbara
4,103,"Bagneux — Lucie Aubrac"
5,104,"Bobigny — Pablo Picasso"
5,105,"Bobigny — Pantin — Raymond Queneau"
5,106,"Église de Pantin"
5,107,Hoche
5,108,"Porte de Pantin"
5,109,Ourcq
5,110,Laumière
5,111,Jaurès
5,112,Stalingrad
5,113,"Gare du Nord"
5,114,"Gare de l'Est"
5,115,"Jacques Bonsergent"
5,116,République
5,117,Oberkampf
5,118,Richard-Lenoir
5,119,"Bréguet — Sabin"
5,120,Bastille
5,121,"Quai de la Rapée"
5,122,"Gare d'Austerlitz"
5,123,Saint-Marcel
5,124,Campo-Formio
5,125,"Place d'Italie"
6,126,"Charles de Gaulle — Étoile"
6,127,Kléber
6,128,Boissière
6,129,Trocadéro
6,130,Passy
6,131,Bir-Hakeim
6,132,Dupleix
6,133,"La Motte-Picquet — Grenelle"
6,134,Cambronne
6,135,"Sèvres — Lecourbe"
6,136,Pasteur
6,137,"Montparnasse — Bienvenüe"
6,138,"Edgar Quinet"
6,139,Raspail
6,140,Denfert-Rochereau
6,141,Saint-Jacques
6,142,Glacière
6,143,Corvisart
6,144,"Place d'Italie"
6,145,Nationale
6,146,Chevaleret
6,147,"Quai de la Gare"
6,148,Bercy
6,149,Dugommier
6,150,Daumesnil
6,151,Bel-Air
6,152,Picpus
6,153,Nation
7,154,"La Courneuve — 8 Mai 1945"
7,155,"Fort d'Aubervilliers"
7,156,"Aubervilliers — Pantin — Quatre Chemins"
7,157,"Porte de la Villette"
7,158,"Corentin Cariou"
7,159,Crimée
7,160,Riquet
7,161,Stalingrad
7,162,"Louis Blanc"
7,163,Château-Landon
7,164,"Gare de l'Est"
7,165,Poissonnière
7,166,Cadet
7,167,"Le Peletier"
7,168,"Chaussée d'Antin — La Fayette"
7,169,Opéra
7,170,Pyramides
7,171,"Palais Royal — Musée du Louvre"
7,172,"Pont Neuf"
7,173,"Pont Marie"
7,174,Châtelet
7,175,"Sully — Morland"
7,176,Jussieu
7,177,"Place Monge"
7,178,"Censier — Daubenton"
7,179,"Les Gobelins"
7,180,"Place d'Italie"
7,181,Tolbiac
7,182,"Maison Blanche"
7,183,"Le Kremlin-Bicêtre"
7,184,"Villejuif — Léo Lagrange"
7,185,"Villejuif — Paul Vaillant-Couturier"
7,186,"Villejuif — Louis Aragon"
7,187,"Porte d'Italie"
7,188,"Porte de Choisy"
7,189,"Porte d'Ivry"
7,190,"Pierre et Marie Curie"
7,191,"Mairie d'Ivry"
8,192,Balard
8,193,Lourmel
8,194,Boucicaut
8,195,"Félix Faure"
8,196,Commerce
8,197,"La Motte-Picquet — Grenelle"
8,198,"École Militaire"
8,199,"La Tour-Maubourg"
8,200,Invalides
8,201,Concorde
8,202,Madeleine
8,203,Opéra
8,204,"Richelieu — Drouot"
8,205,"Grands Boulevards"
8,206,"Bonne Nouvelle"
8,207,"Strasbourg — Saint-Denis"
8,208,République
8,209,"Filles du Calvaire"
8,210,"Saint-Sébastien — Froissart"
8,211,"Chemin Vert"
8,212,Bastille
8,213,Ledru-Rollin
8,214,"Faidherbe — Chaligny"
8,215,"Reuilly — Diderot"
8,216,Montgallet
8,217,Daumesnil
8,218,"Michel Bizot"
8,219,"Porte Dorée"
8,220,"Porte de Charenton"
8,221,Liberté
8,222,"Charenton — Écoles"
8,223,"École Vétérinaire de Maisons-Alfort"
8,224,"Maisons-Alfort — Stade"
8,225,"Maisons-Alfort — Les Juilliottes"
8,226,"Créteil — L'Échat"
8,227,"Créteil — Université"
8,228,"Créteil — Préfecture"
8,229,"Pointe du Lac"
9,230,"Pont de Sèvres"
9,231,Billancourt
9,232,"Marcel Sembat"
9,233,"Porte de Saint-Cloud"
9,234,Exelmans
9,235,"Michel-Ange — Molitor"
9,236,"Michel-Ange — Auteuil"
9,237,Jasmin
9,238,Ranelagh
9,239,"La Muette"
9,240,"Rue de la Pompe"
9,241,Trocadéro
9,242,Iéna
9,243,"Alma — Marceau"
9,244,"Franklin D. Roosevelt"
9,245,"Saint-Philippe du Roule"
9,246,Miromesnil
9,247,Saint-Augustin
9,248,"Havre — Caumartin"
9,249,"Chaussée d'Antin — La Fayette"
9,250,"Richelieu — Drouot"
9,251,"Grands Boulevards"
9,252,"Bonne Nouvelle"
9,253,"Strasbourg — Saint-Denis"
9,254,République
9,255,Oberkampf
9,256,Saint-Ambroise
9,257,Voltaire
9,258,Charonne
9,259,"Rue des Boulets"
9,260,Nation
9,261,Buzenval
9,262,Maraîchers
9,263,"Porte de Montreuil"
9,264,Robespierre
9,265,"Croix de Chavaux"
9,266,"Mairie de Montreuil"
10,267,"Boulogne — Pont de Saint-Cloud"
10,268,"Boulogne — Jean Jaurès"
10,269,"Michel-Ange — Molitor"
10,270,Chardon-Lagache
10,271,Mirabeau
10,272,"Église d'Auteuil"
10,273,"Michel-Ange — Auteuil"
10,274,"Porte d'Auteuil"
10,275,"Javel - Parc André Citroën"
10,276,"Charles Michels"
10,277,"Avenue Émile Zola"
10,278,"La Motte-Picquet — Grenelle"
10,279,Ségur
10,280,Duroc
10,281,Vaneau
10,282,"Sèvres — Babylone"
10,283,Mabillon
10,284,Odéon
